class,domain,n_genomes,CBB,rTCA,WL,3HP,3HP/4HB,DC/4HB,Serine Cycle,Reductive Glycine Pathway,RuMP,electron_donor
Thermoanaerobaculia,Bacteria,711,2,0,3,0,0,0,0,82,0,H2 oxidation
Terriglobia,Bacteria,2679,39,0,16,0,0,0,1,112,21,H2 oxidation
RPQS01,Bacteria,32,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA9042,Bacteria,130,0,0,0,0,0,0,0,4,0,H2 oxidation
Phycisphaerae,Bacteria,2031,0,0,58,0,0,0,0,135,84,H2 oxidation
Anaerolineae,Bacteria,2860,87,0,227,0,0,0,1,575,82,H2 oxidation
Gammaproteobacteria,Bacteria,28702,2533,8,1,0,0,0,493,826,375,H2 oxidation
Ignavibacteria,Bacteria,600,0,0,0,0,0,0,0,16,0,H2 oxidation
Leptospiria,Bacteria,203,0,0,0,0,0,0,0,1,0,H2 oxidation
UBA796,Bacteria,235,0,0,3,0,0,0,0,1,0,H2 oxidation
Alphaproteobacteria,Bacteria,21830,820,0,0,0,0,0,400,748,13,H2 oxidation
WYAZ01,Bacteria,37,3,0,0,0,0,0,7,11,0,H2 oxidation
Myxococcia,Bacteria,382,12,0,0,0,0,0,0,48,6,H2 oxidation
CAIWAD01,Bacteria,16,0,0,0,0,0,0,0,0,0,H2 oxidation
Calditrichia,Bacteria,113,9,0,0,0,0,0,0,7,0,H2 oxidation
Verrucomicrobiia,Bacteria,4414,7,0,15,0,0,0,1,142,2,H2 oxidation
Krumholzibacteriia,Bacteria,216,0,0,1,0,0,0,0,0,0,H2 oxidation
Planctomycetia,Bacteria,2293,3,0,2,0,0,0,0,74,0,H2 oxidation
Hinthialibacteria,Bacteria,38,0,0,2,0,0,0,0,7,0,H2 oxidation
Vicinamibacteria,Bacteria,851,3,0,0,0,0,0,0,15,0,H2 oxidation
Bacteroidia,Bacteria,26963,10,5,16,0,0,0,1,1146,14,H2 oxidation
Gemmatimonadetes,Bacteria,2069,17,0,1,1,0,0,76,30,0,H2 oxidation
SZUA-365,Bacteria,28,0,0,0,0,0,0,0,0,0,H2 oxidation
Hydrogenedentia,Bacteria,145,1,0,9,0,0,0,0,32,0,H2 oxidation
UBA2361,Bacteria,172,0,0,0,0,0,0,0,0,0,H2 oxidation
Polyangia,Bacteria,1189,7,0,4,0,0,0,23,40,1,H2 oxidation
Limnocylindria,Bacteria,527,11,0,4,0,0,0,1,29,0,H2 oxidation
DTOL01,Bacteria,7,0,0,4,0,0,0,0,4,0,H2 oxidation
Sumerlaeia,Bacteria,87,0,0,4,0,0,0,0,5,0,H2 oxidation
Actinomycetes,Bacteria,13479,407,0,0,0,0,0,149,282,130,H2 oxidation
UBA3072,Bacteria,27,0,0,0,0,0,0,0,6,0,H2 oxidation
E2,Archaea,222,0,0,0,0,0,0,0,100,164,H2 oxidation
Dehalococcoidia,Bacteria,2107,2,0,139,0,0,0,0,29,3,H2 oxidation
UBA10030,Bacteria,301,0,0,4,0,0,0,0,12,0,H2 oxidation
Aminicenantia,Bacteria,422,0,0,19,0,0,0,0,26,0,H2 oxidation
Bipolaricaulia,Bacteria,212,0,2,32,0,0,0,0,25,0,H2 oxidation
Bathyarchaeia,Archaea,700,0,0,146,0,0,0,0,5,167,H2 oxidation
Methanomicrobia,Archaea,353,0,0,70,0,0,0,0,0,189,H2 oxidation
JABMQX01,Bacteria,15,0,0,0,0,0,0,0,7,0,H2 oxidation
Clostridia,Bacteria,23758,0,0,8,0,0,0,0,45,3,H2 oxidation
Negativicutes,Bacteria,1087,0,0,27,0,0,0,0,58,12,H2 oxidation
Binatia,Bacteria,484,4,0,0,0,0,0,1,11,0,H2 oxidation
WOR-3,Bacteria,145,2,0,0,0,0,0,0,10,2,H2 oxidation
Cyanobacteriia,Bacteria,2303,695,0,0,0,0,0,0,3,5,H2 oxidation
JdFR-97,Bacteria,11,0,0,9,0,0,0,0,4,0,H2 oxidation
Desulfobaccia,Bacteria,81,0,0,15,0,0,0,0,0,20,H2 oxidation
Desulfobacteria,Bacteria,844,0,0,221,0,0,0,0,177,22,H2 oxidation
Desulfomonilia,Bacteria,119,0,0,55,0,0,0,0,35,0,H2 oxidation
Koll11,Bacteria,956,0,0,94,0,0,0,0,72,53,H2 oxidation
Ozemobacteria,Bacteria,50,0,0,0,0,0,0,0,8,0,H2 oxidation
CLD3,Bacteria,25,0,0,0,0,0,0,0,0,0,H2 oxidation
RBG-16-71-46,Bacteria,205,0,0,0,0,0,0,0,0,0,H2 oxidation
CSSED10-310,Bacteria,6,0,0,0,0,0,0,0,0,0,H2 oxidation
Thermodesulfobacteria,Bacteria,69,0,0,46,0,0,0,0,0,0,H2 oxidation
Humimicrobiia,Bacteria,92,0,0,6,0,0,0,0,5,1,H2 oxidation
Syntrophia,Bacteria,383,0,0,13,0,0,0,0,32,0,H2 oxidation
JADJOY01,Bacteria,4,0,0,0,0,0,0,0,3,0,H2 oxidation
Thermoplasmata,Archaea,737,12,2,7,0,0,0,0,20,74,H2 oxidation
Korarchaeia,Archaea,34,0,0,6,0,0,0,0,0,25,H2 oxidation
Baldrarchaeia,Archaea,7,0,0,4,0,0,0,0,0,6,H2 oxidation
WVXT01,Bacteria,19,0,0,11,0,0,0,0,0,12,H2 oxidation
EX4484-205,Archaea,27,0,0,1,0,0,0,0,0,3,H2 oxidation
Spirochaetia,Bacteria,1551,1,0,35,0,0,0,0,59,22,H2 oxidation
SZUA-567,Bacteria,67,0,0,1,0,0,0,0,6,10,H2 oxidation
Acidimicrobiia,Bacteria,3148,51,0,1,0,0,0,49,70,2,H2 oxidation
Zymogenia,Bacteria,11,0,0,4,0,0,0,0,2,0,H2 oxidation
QNDG01,Bacteria,52,0,0,3,0,0,0,0,13,0,H2 oxidation
Thermoleophilia,Bacteria,1735,92,0,46,0,0,0,95,107,83,H2 oxidation
Aenigmatarchaeia,Archaea,321,0,0,0,0,0,0,0,0,1,H2 oxidation
Chitinivibrionia,Bacteria,88,0,0,10,0,0,0,0,6,0,H2 oxidation
UBA4802,Bacteria,120,0,0,29,0,0,0,0,32,0,H2 oxidation
SAR324,Bacteria,86,4,0,8,0,0,0,3,12,1,H2 oxidation
Elusimicrobia,Bacteria,433,0,0,0,0,0,0,0,21,0,H2 oxidation
Asgardarchaeia,Archaea,2,0,0,0,0,0,0,0,0,1,H2 oxidation
UBA2242,Bacteria,48,0,0,0,0,0,0,0,7,0,H2 oxidation
Lentisphaeria,Bacteria,458,0,1,13,0,0,0,0,10,0,H2 oxidation
Kapaibacteriia,Bacteria,357,0,0,0,0,0,0,0,3,0,H2 oxidation
Desulfarculia,Bacteria,88,0,0,33,0,0,0,0,24,0,H2 oxidation
JAAZEB01,Bacteria,4,0,0,1,0,0,0,0,2,1,H2 oxidation
Kiritimatiellia,Bacteria,884,0,0,20,0,0,0,0,48,2,H2 oxidation
UBA8468,Bacteria,55,0,0,14,0,0,0,0,8,41,H2 oxidation
UBA1135,Bacteria,354,0,0,0,0,0,0,0,17,0,H2 oxidation
Bradymonadia,Bacteria,210,0,0,0,0,0,0,0,1,0,H2 oxidation
UBA6911,Bacteria,123,0,0,2,0,0,0,0,20,0,H2 oxidation
Campylobacteria,Bacteria,2208,1,198,0,0,0,0,0,0,1,H2 oxidation
Electryoneia,Bacteria,21,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA4820,Bacteria,32,0,0,0,0,0,0,0,0,1,H2 oxidation
Desulfovibrionia,Bacteria,702,3,0,18,0,0,0,0,64,1,H2 oxidation
Coriobacteriia,Bacteria,3976,7,0,17,0,0,0,0,49,0,H2 oxidation
Synergistia,Bacteria,306,0,0,1,0,0,0,0,32,0,H2 oxidation
DAOPZR01,Bacteria,1,0,0,0,0,0,0,0,0,0,H2 oxidation
JAFGOL01,Bacteria,12,0,0,0,0,0,0,0,0,0,H2 oxidation
Bacilli,Bacteria,10436,4,0,0,0,0,0,0,6,33,H2 oxidation
UBA4092,Bacteria,3,0,0,0,0,0,0,0,0,0,H2 oxidation
Desulfuromonadia,Bacteria,528,0,0,0,0,0,0,0,27,1,H2 oxidation
Thermincolia,Bacteria,11,0,0,5,0,0,0,0,3,0,H2 oxidation
Vulcanimicrobiia,Bacteria,294,20,0,0,0,0,0,0,5,0,H2 oxidation
Palsa-1180,Bacteria,25,0,0,1,0,0,0,0,0,0,H2 oxidation
Zhuqueibacteria,Bacteria,162,4,0,2,0,0,0,0,1,0,H2 oxidation
Aquificia,Bacteria,192,0,58,0,0,0,0,0,0,0,H2 oxidation
MHYJ01,Bacteria,53,0,0,0,0,0,0,0,1,1,H2 oxidation
UBA9160,Bacteria,264,0,0,1,0,0,0,8,10,0,H2 oxidation
Desulfitobacteriia,Bacteria,109,0,0,31,0,0,0,0,26,0,H2 oxidation
Syntrophobacteria,Bacteria,117,0,0,69,0,0,0,0,35,3,H2 oxidation
SLNR01,Bacteria,5,0,0,0,0,0,0,0,0,0,H2 oxidation
Desulfobulbia,Bacteria,466,3,0,260,0,0,0,0,98,0,H2 oxidation
Thermodesulfovibrionia,Bacteria,444,2,0,72,0,0,0,0,1,2,H2 oxidation
UBA8477,Bacteria,39,0,0,0,0,0,0,0,0,0,H2 oxidation
Marinisomatia,Bacteria,362,2,0,0,0,0,0,0,0,0,H2 oxidation
Fermentibacteria,Bacteria,71,0,0,0,0,0,0,0,17,0,H2 oxidation
Deferrisomatia,Bacteria,21,0,0,11,0,0,0,0,7,0,H2 oxidation
B62-G9,Bacteria,26,0,0,16,0,0,0,0,16,7,H2 oxidation
SPIREOTU_01108583,Bacteria,2,0,0,0,0,0,0,0,0,0,H2 oxidation
BCRBG_10197,Bacteria,1,0,0,0,0,0,0,0,0,0,H2 oxidation
Methanomethylicia,Archaea,58,0,0,5,0,0,0,0,0,6,H2 oxidation
Chloroflexia,Bacteria,434,36,3,0,48,0,0,53,41,0,H2 oxidation
4572-55,Bacteria,5,0,0,0,0,0,0,0,0,0,H2 oxidation
JAAYUB01,Bacteria,13,0,0,0,0,0,0,0,2,0,H2 oxidation
Methanobacteria,Archaea,338,0,0,2,0,0,0,0,0,2,H2 oxidation
Aerophobia,Bacteria,36,0,0,14,0,0,0,0,12,19,H2 oxidation
Thermococci,Archaea,141,0,0,0,0,0,0,0,0,88,H2 oxidation
Blastocatellia,Bacteria,1013,3,0,0,0,0,0,0,5,0,H2 oxidation
Glassbacteria,Bacteria,15,0,0,0,0,0,0,0,12,0,H2 oxidation
UBA9217,Bacteria,54,0,0,21,0,0,0,0,20,0,H2 oxidation
JANLFM01,Bacteria,12,0,0,0,0,0,0,0,0,0,H2 oxidation
BCRBG_12737,Bacteria,2,0,0,0,0,0,0,0,0,0,H2 oxidation
Halobacteria,Archaea,694,0,0,0,0,0,0,0,1,0,H2 oxidation
DAOVCL01,Bacteria,4,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA9942,Bacteria,9,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA8481,Bacteria,6,0,0,0,0,0,0,0,0,0,H2 oxidation
Uabimicrobiia,Bacteria,9,0,0,0,0,0,0,0,0,0,H2 oxidation
JAAXVQ01,Bacteria,15,0,0,0,0,0,0,0,0,0,H2 oxidation
CG2-30-53-67,Bacteria,14,0,0,7,0,0,0,0,0,0,H2 oxidation
Syntrophorhabdia,Bacteria,103,0,0,6,0,0,0,0,0,0,H2 oxidation
JAUVQV01,Bacteria,6,0,0,4,0,0,0,0,1,0,H2 oxidation
Dissulfuribacteria,Bacteria,80,4,0,42,0,0,0,0,0,0,H2 oxidation
SZUA-182,Bacteria,14,0,0,7,0,0,0,0,2,0,H2 oxidation
Hadarchaeia,Archaea,68,0,0,2,0,0,0,0,0,4,H2 oxidation
Polarisedimenticolia,Bacteria,150,0,0,0,0,0,0,0,3,0,H2 oxidation
Deinococci,Bacteria,355,1,0,0,0,0,0,0,8,1,H2 oxidation
UBA148,Archaea,10,0,0,2,0,0,0,0,0,2,H2 oxidation
UBA4738,Bacteria,189,0,0,0,0,0,0,3,8,0,H2 oxidation
JAHITG01,Bacteria,6,0,0,0,0,0,0,0,0,0,H2 oxidation
Omnitrophia,Bacteria,111,0,0,0,0,0,0,0,0,0,H2 oxidation
JS1,Bacteria,53,0,0,0,0,0,0,0,17,1,H2 oxidation
Blakebacteria,Bacteria,10,0,0,0,0,0,0,0,2,0,H2 oxidation
PGYV01,Bacteria,25,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA10199,Bacteria,116,0,0,0,0,0,0,0,0,0,H2 oxidation
Zipacnadia,Bacteria,75,0,0,0,0,0,0,0,2,0,H2 oxidation
DSWW01,Bacteria,16,0,0,8,0,0,0,0,8,5,H2 oxidation
Chthonomonadetes,Bacteria,65,0,0,0,0,0,0,0,6,0,H2 oxidation
DTPJ01,Bacteria,10,0,0,0,0,0,0,0,0,6,H2 oxidation
SPIREOTU_00867198,Bacteria,3,0,0,0,0,0,0,0,0,0,H2 oxidation
Rhodothermia,Bacteria,624,0,0,0,0,0,0,0,3,0,H2 oxidation
HRBIN16,Bacteria,19,0,0,1,0,0,0,0,0,0,H2 oxidation
Kryptoniia,Bacteria,29,0,0,0,0,0,0,0,0,0,H2 oxidation
Sysuimicrobiia,Bacteria,106,0,0,0,0,0,0,0,0,0,H2 oxidation
Lernaellaia,Bacteria,19,0,0,0,0,0,0,0,0,0,H2 oxidation
T1Sed10-126,Bacteria,9,0,0,0,0,0,0,0,0,0,H2 oxidation
Dormibacteria,Bacteria,285,18,0,0,0,0,0,0,5,0,H2 oxidation
B130-G9,Bacteria,8,0,0,0,0,0,0,0,0,0,H2 oxidation
Endomicrobiia,Bacteria,128,0,0,5,0,0,0,0,3,14,H2 oxidation
SPIREOTU_01112900,Bacteria,5,0,0,3,0,0,0,0,1,0,H2 oxidation
SPIREOTU_00094589,Archaea,8,0,0,4,0,0,0,0,0,1,H2 oxidation
Dethiobacteria,Bacteria,141,0,0,7,0,0,0,0,5,0,H2 oxidation
HRBIN17,Bacteria,23,0,0,0,0,0,0,0,0,0,H2 oxidation
Caldisericia,Bacteria,94,0,0,0,0,0,0,0,0,0,H2 oxidation
Deferribacteres,Bacteria,71,0,0,0,0,0,0,0,1,0,H2 oxidation
CALINM01,Bacteria,10,0,0,8,0,0,0,0,0,0,H2 oxidation
Dictyoglomia,Bacteria,12,0,0,0,0,0,0,0,9,0,H2 oxidation
BCRBG_28491,Archaea,2,0,0,0,0,0,0,0,0,1,H2 oxidation
Deferrimicrobia,Bacteria,82,0,0,0,0,0,0,0,0,0,H2 oxidation
JAYEMH01,Bacteria,3,0,0,0,0,0,0,0,0,0,H2 oxidation
MSB-5A5,Bacteria,332,0,0,0,0,0,0,0,1,0,H2 oxidation
UBA8108,Bacteria,58,0,0,0,0,0,0,0,2,0,H2 oxidation
CG2-30-70-394,Bacteria,8,0,0,0,0,0,0,0,1,0,H2 oxidation
Chlorobiia,Bacteria,168,0,112,0,0,0,0,0,0,0,H2 oxidation
UBA1144,Bacteria,132,0,0,0,0,0,0,0,0,0,H2 oxidation
JASEFT01,Archaea,7,0,0,1,0,0,0,0,1,5,H2 oxidation
BCRBG_32896,Bacteria,4,0,0,0,0,0,0,0,1,0,H2 oxidation
DSM-4660,Bacteria,243,0,0,44,0,0,0,0,26,2,H2 oxidation
PUPC01,Bacteria,32,0,0,8,0,0,0,0,6,11,H2 oxidation
Bog-38,Archaea,15,0,0,0,0,0,0,0,0,2,H2 oxidation
Nitrososphaeria,Archaea,843,0,0,7,0,1,0,0,0,13,H2 oxidation
DUMJ01,Bacteria,12,0,0,0,0,0,0,0,2,0,H2 oxidation
BCRBG_35300,Bacteria,1,0,0,0,0,0,0,0,0,0,H2 oxidation
JAJVIF01,Bacteria,17,0,0,0,0,0,0,0,0,0,H2 oxidation
Iainarchaeia,Archaea,180,0,0,0,0,0,0,0,0,0,H2 oxidation
Arandabacteria,Bacteria,23,0,0,0,0,0,0,0,0,0,H2 oxidation
Bacteriovoracia,Bacteria,374,0,0,0,0,0,0,0,3,0,H2 oxidation
Dehalobacteriia,Bacteria,85,0,0,1,0,0,0,0,8,0,H2 oxidation
BCRBG_43749,Archaea,2,0,0,0,0,0,0,0,0,2,H2 oxidation
Methanonatronarchaeia,Archaea,6,0,0,0,0,0,0,0,0,5,H2 oxidation
Brocadiia,Bacteria,129,1,0,16,0,0,0,0,8,20,H2 oxidation
BCRBG_44534,Bacteria,1,0,0,1,0,0,0,0,0,0,H2 oxidation
UBA6098,Bacteria,30,0,0,0,0,0,0,0,0,0,H2 oxidation
MOTU40_062405,Bacteria,4,0,0,1,0,0,0,0,2,0,H2 oxidation
WOR-1,Bacteria,81,0,0,0,0,0,0,0,30,0,H2 oxidation
Syntrophomonadia,Bacteria,122,0,0,0,0,0,0,0,10,0,H2 oxidation
UBA2968,Bacteria,132,0,0,2,0,0,0,0,2,0,H2 oxidation
Zetaproteobacteria,Bacteria,146,42,0,0,0,0,0,0,0,0,H2 oxidation
UBA7883,Bacteria,36,0,0,0,0,0,0,0,0,0,H2 oxidation
Latescibacteria,Bacteria,19,0,0,4,0,0,0,0,5,0,H2 oxidation
EX4484-6,Archaea,26,6,0,0,0,0,0,0,1,17,H2 oxidation
JAANXI01,Bacteria,8,0,0,0,0,0,0,0,0,0,H2 oxidation
BCRBG_51943,Bacteria,1,0,0,0,0,0,0,0,0,1,H2 oxidation
Thermotogae,Bacteria,158,0,0,0,0,0,0,0,0,2,H2 oxidation
Bdellovibrionia,Bacteria,451,0,0,0,0,0,0,0,2,0,H2 oxidation
BCRBG_52140,Bacteria,1,0,0,0,0,0,0,0,0,0,H2 oxidation
XYA12-FULL-58-9,Bacteria,36,0,0,0,0,0,0,1,0,0,H2 oxidation
Micrarchaeia,Archaea,431,0,0,0,0,0,0,0,0,3,H2 oxidation
BCRBG_52268,Bacteria,3,0,0,0,0,0,0,0,0,0,H2 oxidation
WTBG01,Bacteria,54,0,0,16,0,0,0,0,0,0,H2 oxidation
BCRBG_52289,Bacteria,1,0,0,0,0,0,0,0,1,0,H2 oxidation
RBG-13-66-14,Bacteria,11,0,0,0,0,0,0,0,0,0,H2 oxidation
AABM5-125-24,Bacteria,19,0,0,0,0,0,0,0,0,0,H2 oxidation
Vampirovibrionia,Bacteria,1135,0,0,0,0,0,0,0,1,0,H2 oxidation
Thermoprotei,Archaea,116,0,0,1,0,0,0,0,0,18,H2 oxidation
UBA1177,Bacteria,54,0,0,0,0,0,0,0,0,0,H2 oxidation
Cloacimonadia,Bacteria,239,0,0,0,0,0,0,0,2,0,H2 oxidation
Methanosarcinia,Archaea,329,0,0,4,0,0,0,0,0,4,H2 oxidation
PLA2,Bacteria,34,0,0,0,0,0,0,0,1,7,H2 oxidation
4484-113,Bacteria,26,0,0,0,0,0,0,0,0,0,H2 oxidation
Holophagae,Bacteria,164,0,0,2,0,0,0,0,19,0,H2 oxidation
DG-26_A,Bacteria,4,0,0,0,0,0,0,0,0,0,H2 oxidation
Archaeoglobi,Archaea,99,0,0,7,0,0,0,0,0,9,H2 oxidation
Hydrothermia,Bacteria,78,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA10988,Bacteria,7,0,0,0,0,0,0,0,3,1,H2 oxidation
Xenobia,Bacteria,55,0,0,0,0,0,0,0,3,0,H2 oxidation
T3Sed10-11,Bacteria,8,0,0,0,0,0,0,0,0,0,H2 oxidation
Jordiarchaeia,Archaea,12,0,0,8,0,0,0,0,0,7,H2 oxidation
SM23-31,Bacteria,9,0,0,1,0,0,0,0,0,0,H2 oxidation
SpSt-956,Bacteria,5,0,0,0,0,0,0,0,0,0,H2 oxidation
JAJTBE01,Bacteria,4,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA11346,Bacteria,40,0,0,0,0,0,0,0,1,0,H2 oxidation
SLMV01,Bacteria,11,0,0,0,0,0,0,0,1,0,H2 oxidation
BCRBG_65140,Bacteria,1,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA6262,Bacteria,8,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA9980,Bacteria,10,0,0,0,0,0,0,0,0,0,H2 oxidation
Ktedonobacteria,Bacteria,139,20,0,0,0,0,0,4,0,6,H2 oxidation
B143-G9,Bacteria,2,0,0,0,0,0,0,0,0,0,H2 oxidation
B64-G9,Bacteria,22,0,0,1,0,0,0,0,1,0,H2 oxidation
Nitriliruptoria,Bacteria,142,11,0,0,0,0,0,11,16,0,H2 oxidation
UBA1018,Bacteria,142,0,0,0,0,0,0,0,4,0,H2 oxidation
GCA-003054495,Bacteria,4,0,0,2,0,0,0,0,1,0,H2 oxidation
AB16,Bacteria,30,0,0,0,0,0,0,0,5,0,H2 oxidation
Fusobacteriia,Bacteria,226,0,0,0,0,0,0,0,5,0,H2 oxidation
MVCY01,Bacteria,9,0,0,1,0,0,0,0,2,0,H2 oxidation
GBS-1,Bacteria,5,0,0,0,0,0,0,0,0,0,H2 oxidation
DTU086,Bacteria,5,0,0,0,0,0,0,0,1,0,H2 oxidation
Altiarchaeia,Archaea,53,0,0,0,0,0,0,0,0,7,H2 oxidation
Riflemargulisbacteria,Bacteria,13,0,0,0,0,0,0,0,0,0,H2 oxidation
RBG-13-43-22,Bacteria,13,0,0,7,0,0,0,0,5,0,H2 oxidation
RBG-13-61-14,Bacteria,21,0,0,7,0,0,0,0,3,0,H2 oxidation
UBA8919,Bacteria,12,0,0,8,0,0,0,0,1,10,H2 oxidation
UBA1551,Bacteria,3,0,0,3,0,0,0,0,1,3,H2 oxidation
Nitrospiria,Bacteria,560,0,3,0,0,0,0,0,3,0,H2 oxidation
AC1,Bacteria,21,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA6266,Bacteria,5,0,0,0,0,0,0,0,0,0,H2 oxidation
Aquicultoria,Bacteria,29,0,0,7,0,0,0,0,4,0,H2 oxidation
JdFR-76,Bacteria,17,0,0,0,0,0,0,0,0,0,H2 oxidation
HRBIN11,Bacteria,13,6,0,0,0,0,0,0,0,0,H2 oxidation
Syntropharchaeia,Archaea,67,0,0,18,0,0,0,0,0,19,H2 oxidation
Nitrospinia,Bacteria,96,0,0,0,0,0,0,0,4,0,H2 oxidation
UBA4882,Bacteria,59,0,0,0,0,0,0,0,21,7,H2 oxidation
SLGR01,Bacteria,9,0,0,0,0,0,0,0,0,0,H2 oxidation
Minisyncoccia,Bacteria,3964,0,0,0,0,0,0,0,0,0,H2 oxidation
SURF-8,Bacteria,10,0,0,3,0,0,0,0,3,0,H2 oxidation
B3-LCP,Bacteria,11,0,0,1,0,0,0,0,0,0,H2 oxidation
Auribacteria,Bacteria,6,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA3575,Bacteria,2,0,0,1,0,0,0,0,1,0,H2 oxidation
E44-bin39,Bacteria,1,0,0,1,0,0,0,0,0,1,H2 oxidation
Thorarchaeia,Archaea,85,0,0,0,0,0,0,0,0,1,H2 oxidation
Rubrobacteria,Bacteria,83,2,0,0,0,0,0,0,4,0,H2 oxidation
UBA6077,Bacteria,37,1,0,0,0,0,0,0,3,0,H2 oxidation
Mcinerneyibacteria,Bacteria,11,0,0,0,0,0,0,0,0,0,H2 oxidation
Anaeroferrophillalia,Bacteria,24,0,0,5,0,0,0,0,0,0,H2 oxidation
GWC2-55-46,Bacteria,91,0,0,0,0,0,0,0,1,0,H2 oxidation
DULZ01,Bacteria,4,0,0,1,0,0,0,0,1,0,H2 oxidation
Tritonobacteria,Bacteria,13,0,0,3,0,0,0,0,0,0,H2 oxidation
Limnochordia,Bacteria,99,2,0,0,0,0,0,0,0,0,H2 oxidation
Fermentithermobacillia,Bacteria,34,0,0,0,0,0,0,0,1,0,H2 oxidation
4484-107,Bacteria,7,0,0,2,0,0,0,0,0,1,H2 oxidation
CAIJMQ01,Bacteria,14,0,0,3,0,0,0,0,1,6,H2 oxidation
JABWAT01,Bacteria,7,0,0,0,0,0,0,0,4,0,H2 oxidation
SM23-61,Bacteria,26,0,0,4,0,0,0,0,5,0,H2 oxidation
CADDZG01,Bacteria,90,18,0,0,0,0,0,4,3,0,H2 oxidation
Fimbriimonadia,Bacteria,272,0,0,0,0,0,0,0,0,0,H2 oxidation
Dojkabacteria,Bacteria,200,0,0,0,0,0,0,0,0,0,H2 oxidation
Magnetococcia,Bacteria,42,0,0,0,0,0,0,0,0,0,H2 oxidation
Thermoprotei_A,Archaea,311,0,0,0,0,0,0,0,0,4,H2 oxidation
Heimdallarchaeia,Archaea,79,0,0,0,0,0,0,0,1,2,H2 oxidation
CAIWXX01,Bacteria,3,0,0,0,0,0,0,0,1,0,H2 oxidation
JACQYL01,Bacteria,5,0,0,3,0,0,0,0,1,0,H2 oxidation
AC-67,Bacteria,15,0,0,0,0,0,0,0,0,0,H2 oxidation
UBA8473,Bacteria,11,0,0,2,0,0,0,0,0,0,H2 oxidation
FW602-bin22,Bacteria,26,0,0,3,0,0,0,0,2,0,H2 oxidation
JACRGO01,Bacteria,2,0,0,0,0,0,0,0,0,0,H2 oxidation
B15-G4,Bacteria,44,0,0,0,0,0,0,0,1,0,H2 oxidation
