class,domain,n_genomes,CBB,rTCA,WL,3HP,3HP/4HB,DC/4HB,Serine Cycle,Reductive Glycine Pathway,RuMP,electron_donor
BCRBG_72066,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
DTOL01,Bacteria,7,0,0,2,0,0,0,0,2,0,sulfide oxidation
Deferrimicrobia,Bacteria,82,0,0,0,0,0,0,0,0,0,sulfide oxidation
Hydrogenedentia,Bacteria,145,0,0,1,0,0,0,0,1,0,sulfide oxidation
Syntrophorhabdia,Bacteria,103,0,0,6,0,0,0,0,0,0,sulfide oxidation
Xenobia,Bacteria,55,0,0,0,0,0,0,0,1,0,sulfide oxidation
Sulfobacillia,Bacteria,39,14,0,0,0,0,0,0,0,1,sulfide oxidation
Calescibacteriia,Bacteria,9,0,0,0,0,0,0,0,0,0,sulfide oxidation
Peptococcia,Bacteria,92,0,0,2,0,0,0,0,3,0,sulfide oxidation
Iainarchaeia,Archaea,180,0,0,0,0,0,0,0,0,0,sulfide oxidation
Desulfitobacteriia,Bacteria,109,0,0,47,0,0,0,0,39,1,sulfide oxidation
AB16,Bacteria,30,0,0,0,0,0,0,0,3,0,sulfide oxidation
Thermosediminibacteria,Bacteria,29,0,0,2,0,0,0,0,0,1,sulfide oxidation
Syntropharchaeia,Archaea,67,0,0,8,0,0,0,0,0,9,sulfide oxidation
WOR-1,Bacteria,81,0,0,0,0,0,0,0,5,0,sulfide oxidation
JACOXK01,Bacteria,13,0,0,0,0,0,0,0,0,0,sulfide oxidation
RBG-13-43-22,Bacteria,13,0,0,1,0,0,0,0,0,0,sulfide oxidation
O2-12-FULL-43-9,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
YA12-FULL-61-11,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA8919,Bacteria,12,0,0,3,0,0,0,0,1,3,sulfide oxidation
RBG-16-64-22,Bacteria,3,0,0,0,0,0,0,0,1,0,sulfide oxidation
JdFR-76,Bacteria,17,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA1874,Bacteria,1,0,0,1,0,0,0,0,0,0,sulfide oxidation
UBA6919,Bacteria,4,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA7883,Bacteria,36,0,0,0,0,0,0,0,0,0,sulfide oxidation
Vulcanimicrobiia,Bacteria,294,12,0,0,0,0,0,0,3,0,sulfide oxidation
SZUA-224,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfide oxidation
Symbiobacteriia,Bacteria,22,1,0,0,0,0,0,0,8,1,sulfide oxidation
UBA5177,Bacteria,26,0,0,0,0,0,0,0,0,0,sulfide oxidation
T3Sed10-11,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
SURF-8,Bacteria,10,0,0,1,0,0,0,0,1,0,sulfide oxidation
QNDG01,Bacteria,52,0,0,0,0,0,0,0,3,0,sulfide oxidation
J058,Bacteria,23,0,0,0,0,0,0,0,0,0,sulfide oxidation
4572-55,Bacteria,5,0,0,0,0,0,0,0,0,0,sulfide oxidation
Rubrobacteria,Bacteria,83,1,0,0,0,0,0,0,2,0,sulfide oxidation
CG2-30-40-21,Bacteria,9,0,0,6,0,0,0,0,1,1,sulfide oxidation
UBA8153,Bacteria,3,0,0,2,0,0,0,0,2,0,sulfide oxidation
Chthonomonadetes,Bacteria,65,0,0,0,0,0,0,0,3,0,sulfide oxidation
DTU030,Bacteria,14,0,0,0,0,0,0,0,0,0,sulfide oxidation
DTU086,Bacteria,5,0,0,0,0,0,0,0,1,0,sulfide oxidation
Dehalobacteriia,Bacteria,85,0,0,4,0,0,0,0,4,0,sulfide oxidation
Orphanbacteria,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
Undinarchaeia,Archaea,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
JACIYH01,Bacteria,4,0,0,3,0,0,0,0,3,0,sulfide oxidation
Moorellia,Bacteria,25,0,0,10,0,0,0,0,8,0,sulfide oxidation
Thermococci,Archaea,141,0,0,0,0,0,0,0,0,19,sulfide oxidation
JACPQY01,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfide oxidation
JACPDT01,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
CAIWXX01,Bacteria,3,0,0,0,0,0,0,0,0,0,sulfide oxidation
JACPTQ01,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
SW-10-69-26,Archaea,16,0,0,0,0,0,0,0,1,6,sulfide oxidation
Brachyspiria,Bacteria,49,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA6262,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
JACRCW01,Bacteria,3,0,0,0,0,0,0,0,0,0,sulfide oxidation
Fibrobacteria,Bacteria,253,0,0,0,0,0,0,0,0,0,sulfide oxidation
Hermodarchaeia,Archaea,10,0,0,2,0,0,0,0,0,2,sulfide oxidation
Wukongarchaeia,Archaea,2,0,0,1,0,0,0,0,0,1,sulfide oxidation
JAENJC01,Bacteria,4,0,0,2,0,0,0,0,1,0,sulfide oxidation
UBA8108,Bacteria,58,0,0,0,0,0,0,0,1,0,sulfide oxidation
Negativicutes,Bacteria,1087,0,0,1,0,0,0,0,2,0,sulfide oxidation
DSM-16504,Bacteria,7,0,0,2,0,0,0,0,1,0,sulfide oxidation
PH28-bin88,Bacteria,4,0,0,1,0,0,0,0,1,0,sulfide oxidation
JAAXHH01,Bacteria,37,0,0,0,0,0,0,0,0,1,sulfide oxidation
Marinamargulisbacteria,Bacteria,54,0,1,0,0,0,0,0,0,0,sulfide oxidation
HKB111,Bacteria,4,0,0,0,0,0,0,0,0,0,sulfide oxidation
RBS10-35,Bacteria,14,0,0,0,0,0,0,0,1,0,sulfide oxidation
JAHJRX01,Bacteria,2,0,0,1,0,0,0,0,0,0,sulfide oxidation
UBA2361,Bacteria,172,0,0,0,0,0,0,0,0,0,sulfide oxidation
B3-LCP,Bacteria,11,0,0,3,0,0,0,0,0,0,sulfide oxidation
Nitrospinia,Bacteria,96,0,0,0,0,0,0,0,3,0,sulfide oxidation
UBA8742,Bacteria,33,0,0,0,0,0,0,0,0,0,sulfide oxidation
DYIV01,Bacteria,1,0,0,1,0,0,0,0,0,0,sulfide oxidation
B15-G4,Bacteria,44,0,0,0,0,0,0,0,0,1,sulfide oxidation
DVGY01,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA995,Bacteria,13,0,0,4,0,0,0,0,3,0,sulfide oxidation
DUSP01,Bacteria,4,0,0,1,0,0,0,0,1,0,sulfide oxidation
Ktedonobacteria,Bacteria,139,13,0,0,0,0,0,2,0,3,sulfide oxidation
Desulfuromonadia,Bacteria,528,0,0,0,0,0,0,0,0,0,sulfide oxidation
Thermodesulfobiia,Bacteria,5,4,0,0,0,0,0,0,4,0,sulfide oxidation
JACRHJ01,Bacteria,8,0,0,2,0,0,0,0,2,0,sulfide oxidation
UBA4820,Bacteria,32,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAMCPX01,Bacteria,14,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAJYWN01,Bacteria,5,0,0,1,0,0,0,0,1,0,sulfide oxidation
JAJZYS01,Bacteria,17,0,0,0,0,0,0,0,0,1,sulfide oxidation
JAJZIM01,Bacteria,2,0,0,1,0,0,0,0,0,0,sulfide oxidation
Leptospirillia,Bacteria,20,0,0,0,0,0,0,0,12,0,sulfide oxidation
JABDET01,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfide oxidation
GCA-003054495,Bacteria,4,0,0,2,0,0,0,0,2,0,sulfide oxidation
Halanaerobiia,Bacteria,87,0,0,0,0,0,0,0,1,0,sulfide oxidation
SORT01,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAKEIC01,Bacteria,3,0,0,0,0,0,0,0,0,1,sulfide oxidation
UBA5301,Bacteria,8,0,0,1,0,0,0,0,1,0,sulfide oxidation
JAMCWA01,Bacteria,2,0,0,1,0,0,0,0,1,0,sulfide oxidation
JAIMAT01,Bacteria,3,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA727,Bacteria,60,0,0,0,0,0,0,0,1,0,sulfide oxidation
Dissulfuribacteria,Bacteria,80,0,0,1,0,0,0,0,0,0,sulfide oxidation
JACRDV01,Archaea,1,0,0,1,0,0,0,0,0,1,sulfide oxidation
Abditibacteriia,Bacteria,36,0,0,0,0,0,0,0,2,0,sulfide oxidation
Blakebacteria,Bacteria,10,0,0,0,0,0,0,0,1,0,sulfide oxidation
Joyebacteria,Bacteria,31,0,0,0,0,0,0,0,0,0,sulfide oxidation
ARS69,Bacteria,9,0,0,0,0,0,0,0,0,0,sulfide oxidation
Njordarchaeia,Archaea,7,0,0,0,0,0,0,0,0,2,sulfide oxidation
GCA-002687715,Bacteria,24,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAOZGF01,Archaea,2,0,0,1,0,0,0,0,0,1,sulfide oxidation
DRYD01,Bacteria,10,0,0,0,0,0,0,0,0,0,sulfide oxidation
Zipacnadia,Bacteria,75,0,0,0,0,0,0,0,0,1,sulfide oxidation
JAOUDF01,Bacteria,1,0,0,1,0,0,0,0,1,0,sulfide oxidation
JADFVX01,Bacteria,6,0,0,0,0,0,0,0,0,1,sulfide oxidation
UBA9088,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
SM23-61,Bacteria,26,0,0,1,0,0,0,0,0,0,sulfide oxidation
JASEGY01,Bacteria,3,0,0,2,0,0,0,0,0,0,sulfide oxidation
Chlamydiia,Bacteria,586,0,0,0,0,0,0,0,0,0,sulfide oxidation
CAJVYJ01,Bacteria,13,0,0,5,0,0,0,0,0,0,sulfide oxidation
JAUVYG01,Bacteria,1,0,0,1,0,0,0,0,1,0,sulfide oxidation
JAJVIF01,Bacteria,17,0,0,0,0,0,0,0,0,0,sulfide oxidation
PLA2,Bacteria,34,0,0,0,0,0,0,0,0,1,sulfide oxidation
UBA12135,Bacteria,7,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA5829,Bacteria,66,0,0,0,0,0,0,0,1,0,sulfide oxidation
UBA11872,Bacteria,70,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAJYCY01,Bacteria,9,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAUVQV01,Bacteria,6,0,0,1,0,0,0,0,0,0,sulfide oxidation
DTKX01,Archaea,19,0,0,0,0,0,0,0,5,6,sulfide oxidation
DG-23,Bacteria,14,0,0,1,0,0,0,0,0,1,sulfide oxidation
CALGFH01,Bacteria,36,5,0,0,0,0,0,0,3,0,sulfide oxidation
DASVDK01,Bacteria,2,0,0,0,0,0,0,0,1,0,sulfide oxidation
UBA4733,Bacteria,4,0,0,0,0,0,0,0,0,0,sulfide oxidation
OFTM77,Bacteria,2,0,0,0,0,0,0,0,1,0,sulfide oxidation
HRBIN16,Bacteria,19,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA6099,Bacteria,11,0,0,1,0,0,0,0,0,0,sulfide oxidation
JAQUKH01,Bacteria,2,0,0,1,0,0,0,0,0,0,sulfide oxidation
JAUYMQ01,Bacteria,5,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA2968,Bacteria,132,0,0,0,0,0,0,0,1,1,sulfide oxidation
JAWLBW01,Bacteria,4,0,0,0,0,0,0,0,0,0,sulfide oxidation
SYMT01,Bacteria,9,0,0,0,0,0,0,0,1,0,sulfide oxidation
CADDZV01,Bacteria,3,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA2235,Bacteria,25,0,0,0,0,0,0,0,0,0,sulfide oxidation
Riflemargulisbacteria,Bacteria,13,0,0,0,0,0,0,0,0,0,sulfide oxidation
Deferribacteres,Bacteria,71,0,0,0,0,0,0,0,0,0,sulfide oxidation
Hinthialibacteria,Bacteria,38,0,0,0,0,0,0,0,0,0,sulfide oxidation
Thermaerobacteria,Bacteria,8,0,0,0,0,0,0,0,0,0,sulfide oxidation
Uabimicrobiia,Bacteria,9,0,0,0,0,0,0,0,0,1,sulfide oxidation
Armatimonadia,Bacteria,82,0,0,0,0,0,0,0,2,0,sulfide oxidation
UBA10199,Bacteria,116,0,0,0,0,0,0,0,0,0,sulfide oxidation
JAUUWJ01,Bacteria,3,0,0,2,0,0,0,0,0,0,sulfide oxidation
BMS3Abin14,Bacteria,19,0,0,0,0,0,0,0,0,0,sulfide oxidation
RBG-13-61-14,Bacteria,21,0,0,0,0,0,0,0,0,0,sulfide oxidation
D2-FULL-39-29,Bacteria,13,0,0,0,0,0,0,0,1,1,sulfide oxidation
MOTU40_040469,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
Aerophobia,Bacteria,36,0,0,2,0,0,0,0,2,2,sulfide oxidation
Geothermincolia,Bacteria,63,0,0,1,0,0,0,0,0,1,sulfide oxidation
DYJV01,Bacteria,9,0,0,1,0,0,0,0,0,0,sulfide oxidation
Entotheonellia,Bacteria,34,0,0,0,0,0,0,0,1,0,sulfide oxidation
GCA-2686955,Bacteria,5,0,0,0,0,0,0,0,0,0,sulfide oxidation
Anaeroferrophillalia,Bacteria,24,0,0,1,0,0,0,0,0,0,sulfide oxidation
CALKMS01,Bacteria,11,0,0,1,0,0,0,0,0,0,sulfide oxidation
DSWW01,Bacteria,16,0,0,0,0,0,0,0,0,0,sulfide oxidation
SPECIV4_06449,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
SPIREOTU_00057398,Bacteria,2,0,0,2,0,0,0,0,2,0,sulfide oxidation
UBA2428,Bacteria,40,0,0,0,0,0,0,0,0,0,sulfide oxidation
SPIREOTU_00497025,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfide oxidation
4484-107,Bacteria,7,0,0,1,0,0,0,0,0,0,sulfide oxidation
SPIREOTU_01799784,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfide oxidation
Altiarchaeia,Archaea,53,0,0,0,0,0,0,0,0,1,sulfide oxidation
DAOWNY01,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfide oxidation
Humimicrobiia,Bacteria,92,0,0,0,0,0,0,0,0,0,sulfide oxidation
UBA6624,Bacteria,10,0,0,0,0,0,0,0,0,0,sulfide oxidation
Gammaproteobacteria,Bacteria,28702,2440,5,1,0,0,0,296,901,11,sulfite oxidation
Alphaproteobacteria,Bacteria,21830,829,0,0,0,0,0,973,4126,35,sulfite oxidation
Methylomirabilia,Bacteria,277,2,0,1,0,0,0,0,0,0,sulfite oxidation
Dehalococcoidia,Bacteria,2107,0,0,47,0,0,0,0,5,11,sulfite oxidation
UBA6911,Bacteria,123,0,0,6,0,0,0,0,9,0,sulfite oxidation
Thermoplasmata,Archaea,737,0,0,2,0,0,0,0,7,9,sulfite oxidation
MSB-5A5,Bacteria,332,0,0,0,0,0,0,0,0,0,sulfite oxidation
Aquificia,Bacteria,192,0,0,0,0,0,0,0,0,0,sulfite oxidation
Syntrophia,Bacteria,383,0,0,2,0,0,0,0,2,0,sulfite oxidation
Binatia,Bacteria,484,0,0,0,0,0,0,0,9,0,sulfite oxidation
BCRBG_15457,Bacteria,1,0,0,1,0,0,0,0,0,0,sulfite oxidation
Syntrophobacteria,Bacteria,117,0,0,3,0,0,0,0,2,0,sulfite oxidation
Sysuimicrobiia,Bacteria,106,5,0,0,0,0,0,0,0,0,sulfite oxidation
JBBIRW01,Bacteria,4,0,0,0,0,0,0,0,0,3,sulfite oxidation
Thermodesulfovibrionia,Bacteria,444,0,0,17,0,0,0,0,0,4,sulfite oxidation
Anaerolineae,Bacteria,2860,2,0,3,0,0,0,0,10,1,sulfite oxidation
Halobacteria,Archaea,694,0,0,0,0,0,0,0,4,0,sulfite oxidation
Rhodothermia,Bacteria,624,0,0,0,0,0,0,0,0,0,sulfite oxidation
Desulfobacteria,Bacteria,844,0,0,16,0,0,0,0,13,0,sulfite oxidation
BCRBG_35300,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfite oxidation
Gemmatimonadetes,Bacteria,2069,0,0,1,0,0,0,0,8,0,sulfite oxidation
Limnocylindria,Bacteria,527,1,0,0,0,0,0,0,0,0,sulfite oxidation
Vicinamibacteria,Bacteria,851,0,0,0,0,0,0,0,0,0,sulfite oxidation
Thermoprotei_A,Archaea,311,0,0,0,0,0,0,0,0,32,sulfite oxidation
AABM5-125-24,Bacteria,19,0,0,0,0,0,0,0,0,0,sulfite oxidation
Electryoneia,Bacteria,21,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA4738,Bacteria,189,0,0,0,0,0,0,0,1,0,sulfite oxidation
UBA7883,Bacteria,36,0,0,0,0,0,0,0,0,0,sulfite oxidation
Phycisphaerae,Bacteria,2031,0,0,0,0,0,0,0,2,0,sulfite oxidation
Coriobacteriia,Bacteria,3976,0,0,2,0,0,0,0,10,0,sulfite oxidation
Bacilli,Bacteria,10436,0,0,0,0,0,0,0,0,0,sulfite oxidation
RBG-16-71-46,Bacteria,205,0,0,0,0,0,0,0,0,0,sulfite oxidation
Krumholzibacteriia,Bacteria,216,0,0,1,0,0,0,0,0,0,sulfite oxidation
Thermoleophilia,Bacteria,1735,0,0,4,0,0,0,1,5,7,sulfite oxidation
Bacteroidia,Bacteria,26963,1,0,0,0,0,0,0,3,0,sulfite oxidation
DSM-4660,Bacteria,243,0,0,13,0,0,0,0,7,0,sulfite oxidation
Desulfarculia,Bacteria,88,0,0,2,0,0,0,0,1,0,sulfite oxidation
Sulfobacillia,Bacteria,39,14,0,0,0,0,0,0,0,0,sulfite oxidation
Thermoprotei,Archaea,116,0,0,0,0,0,0,0,0,11,sulfite oxidation
PH28-bin88,Bacteria,4,0,0,1,0,0,0,0,1,0,sulfite oxidation
Kryptoniia,Bacteria,29,0,0,0,0,0,0,0,0,0,sulfite oxidation
HRBIN11,Bacteria,13,0,0,0,0,0,0,0,1,0,sulfite oxidation
Zetaproteobacteria,Bacteria,146,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA6919,Bacteria,4,0,0,0,0,0,0,0,0,0,sulfite oxidation
Nitrososphaeria,Archaea,843,0,0,3,0,1,0,0,0,3,sulfite oxidation
Magnetococcia,Bacteria,42,0,0,0,0,0,0,0,0,0,sulfite oxidation
Moorellia,Bacteria,25,0,0,1,0,0,0,0,0,0,sulfite oxidation
Chloroflexia,Bacteria,434,0,0,0,0,0,0,0,1,0,sulfite oxidation
Desulfitobacteriia,Bacteria,109,0,0,4,0,0,0,0,2,0,sulfite oxidation
Desulfotomaculia,Bacteria,146,0,0,0,0,0,0,0,0,0,sulfite oxidation
Clostridia,Bacteria,23758,0,0,1,0,0,0,0,1,0,sulfite oxidation
JACPQY01,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfite oxidation
FW602-bin22,Bacteria,26,0,0,1,0,0,0,0,2,0,sulfite oxidation
Terriglobia,Bacteria,2679,1,0,0,0,0,0,0,0,0,sulfite oxidation
JACPUC01,Bacteria,1,0,0,0,0,0,0,0,1,0,sulfite oxidation
Vampirovibrionia,Bacteria,1135,0,0,0,0,0,0,0,0,0,sulfite oxidation
Polyangia,Bacteria,1189,0,0,0,0,0,0,0,0,0,sulfite oxidation
Deferrimicrobia,Bacteria,82,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA4802,Bacteria,120,0,0,1,0,0,0,0,1,0,sulfite oxidation
WTBG01,Bacteria,54,0,0,2,0,0,0,0,0,0,sulfite oxidation
B15-G4,Bacteria,44,0,0,0,0,0,0,0,1,0,sulfite oxidation
Desulfovibrionia,Bacteria,702,0,0,1,0,0,0,0,0,0,sulfite oxidation
JAJZIM01,Bacteria,2,0,0,1,0,0,0,0,0,0,sulfite oxidation
Acidimicrobiia,Bacteria,3148,0,0,0,0,0,0,1,4,0,sulfite oxidation
SAR324,Bacteria,86,0,0,0,0,0,0,0,0,0,sulfite oxidation
SM23-61,Bacteria,26,0,0,2,0,0,0,0,1,0,sulfite oxidation
UBA890,Bacteria,25,0,0,0,0,0,0,0,0,0,sulfite oxidation
PLA2,Bacteria,34,0,0,0,0,0,0,0,0,1,sulfite oxidation
JAJVIF01,Bacteria,17,0,0,0,0,0,0,0,0,0,sulfite oxidation
Verrucomicrobiia,Bacteria,4414,0,0,0,0,0,0,0,0,0,sulfite oxidation
Deferribacteres,Bacteria,71,0,0,0,0,0,0,0,0,0,sulfite oxidation
B3-B38,Bacteria,19,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA8473,Bacteria,11,0,0,1,0,0,0,0,1,0,sulfite oxidation
JACPSX01,Bacteria,2,0,0,0,0,0,0,0,0,0,sulfite oxidation
Syntrophorhabdia,Bacteria,103,0,0,2,0,0,0,0,0,0,sulfite oxidation
Syntrophomonadia,Bacteria,122,0,0,0,0,0,0,0,1,0,sulfite oxidation
CG2-30-70-394,Bacteria,8,0,0,0,0,0,0,0,1,0,sulfite oxidation
JAZFTZ01,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfite oxidation
CALINM01,Bacteria,10,0,0,1,0,0,0,0,0,0,sulfite oxidation
Thermodesulfobacteria,Bacteria,69,0,0,2,0,0,0,0,0,0,sulfite oxidation
Bipolaricaulia,Bacteria,212,0,0,0,0,0,0,0,0,0,sulfite oxidation
Aminicenantia,Bacteria,422,0,0,0,0,0,0,0,0,0,sulfite oxidation
Hydrothermia,Bacteria,78,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA1135,Bacteria,354,0,0,0,0,0,0,0,1,0,sulfite oxidation
CAIWXX01,Bacteria,3,0,0,0,0,0,0,0,1,0,sulfite oxidation
BSN033,Bacteria,72,0,0,4,0,0,0,0,2,0,sulfite oxidation
B13-G15,Bacteria,25,0,0,0,0,0,0,0,1,0,sulfite oxidation
Minisyncoccia,Bacteria,3964,0,0,0,0,0,0,0,0,0,sulfite oxidation
Poseidoniia,Archaea,587,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA8248,Bacteria,48,0,0,0,0,0,0,0,1,0,sulfite oxidation
Actinomycetes,Bacteria,13479,0,0,0,0,0,0,0,0,0,sulfite oxidation
Entotheonellia,Bacteria,34,0,0,0,0,0,0,0,1,0,sulfite oxidation
UBA9042,Bacteria,130,0,0,0,0,0,0,0,0,0,sulfite oxidation
MOTU40_113486,Bacteria,1,0,0,0,0,0,0,0,0,0,sulfite oxidation
UBA796,Bacteria,235,0,0,1,0,0,0,0,0,0,sulfite oxidation
Planctomycetia,Bacteria,2293,0,0,0,0,0,0,0,1,0,sulfite oxidation
XYA12-FULL-58-9,Bacteria,36,1,0,0,0,0,0,0,0,0,sulfite oxidation
Marinisomatia,Bacteria,362,0,0,0,0,0,0,0,0,0,sulfite oxidation
Saccharimonadia,Bacteria,3696,0,0,0,0,0,0,0,0,0,sulfite oxidation
Polarisedimenticolia,Bacteria,150,0,0,0,0,0,0,0,1,0,sulfite oxidation
SPIREOTU_00867198,Bacteria,3,0,0,0,0,0,0,0,0,0,sulfite oxidation
Myxococcia,Bacteria,382,0,0,0,0,0,0,0,0,0,sulfite oxidation
Cyanobacteriia,Bacteria,2303,0,0,0,0,0,0,0,0,0,sulfite oxidation
Abditibacteriia,Bacteria,36,0,0,0,0,0,0,0,1,0,sulfite oxidation
Gammaproteobacteria,Bacteria,28702,1382,1,0,0,0,0,299,1509,8,CO oxidation
Alphaproteobacteria,Bacteria,21830,1616,0,0,0,0,0,1402,5807,49,CO oxidation
Anaerolineae,Bacteria,2860,87,0,192,0,0,0,1,490,108,CO oxidation
Chloroflexia,Bacteria,434,26,0,0,42,0,0,48,63,3,CO oxidation
Acidimicrobiia,Bacteria,3148,96,0,1,0,0,0,333,578,1,CO oxidation
UBA9160,Bacteria,264,0,0,2,0,0,0,9,34,0,CO oxidation
Thermoanaerobaculia,Bacteria,711,0,0,0,0,0,0,0,122,0,CO oxidation
Calditrichia,Bacteria,113,2,0,0,0,0,0,0,5,0,CO oxidation
Verrucomicrobiia,Bacteria,4414,0,0,2,0,0,0,0,4,6,CO oxidation
