class,domain,n_genomes,CBB,rTCA,WL,3HP,3HP/4HB,DC/4HB,Serine Cycle,Reductive Glycine Pathway,RuMP,electron_donor
Blastocatellia,Bacteria,1013,1,0,0,0,0,0,1,1,0,CO oxidation
Myxococcia,Bacteria,382,6,0,0,0,0,0,0,12,1,CO oxidation
Thermoleophilia,Bacteria,1735,133,0,0,0,0,0,165,171,0,CO oxidation
Limnocylindria,Bacteria,527,14,0,3,0,0,0,0,13,0,CO oxidation
Bacteroidia,Bacteria,26963,7,0,0,0,0,0,0,211,9,CO oxidation
Polyangia,Bacteria,1189,4,0,0,0,0,0,15,16,1,CO oxidation
Dehalococcoidia,Bacteria,2107,3,0,1,0,0,0,2,389,1,CO oxidation
Methylomirabilia,Bacteria,277,1,0,0,0,0,0,0,39,0,CO oxidation
Actinomycetes,Bacteria,13479,535,0,0,0,0,0,286,875,252,CO oxidation
Vicinamibacteria,Bacteria,851,2,0,0,0,0,0,0,23,0,CO oxidation
Terriglobia,Bacteria,2679,15,0,4,0,0,0,0,106,8,CO oxidation
JdFR-97,Bacteria,11,0,0,3,0,0,0,0,0,0,CO oxidation
Gemmatimonadetes,Bacteria,2069,10,0,1,0,0,0,88,22,0,CO oxidation
JADJOY01,Bacteria,4,0,0,0,0,0,0,0,2,0,CO oxidation
Thermosulfidibacteria,Bacteria,18,0,0,0,0,0,0,0,0,0,CO oxidation
Binatia,Bacteria,484,5,0,0,0,0,0,6,79,2,CO oxidation
Desulfobacteria,Bacteria,844,0,0,25,0,0,0,0,23,0,CO oxidation
Desulfovibrionia,Bacteria,702,0,0,7,0,0,0,0,6,0,CO oxidation
Entotheonellia,Bacteria,34,0,0,0,0,0,0,0,2,0,CO oxidation
Vulcanimicrobiia,Bacteria,294,21,0,0,0,0,0,0,6,0,CO oxidation
GCA-002687715,Bacteria,24,0,0,0,0,0,0,0,0,0,CO oxidation
UBA8108,Bacteria,58,0,0,0,0,0,0,0,3,0,CO oxidation
JBBIRW01,Bacteria,4,0,0,0,0,0,0,0,0,0,CO oxidation
Rhodothermia,Bacteria,624,1,0,0,0,0,0,0,2,0,CO oxidation
Syntrophia,Bacteria,383,0,0,1,0,0,0,0,0,0,CO oxidation
JdFR-76,Bacteria,17,0,0,0,0,0,0,0,0,0,CO oxidation
Deinococci,Bacteria,355,16,0,0,0,0,0,0,19,3,CO oxidation
Nitrospiria,Bacteria,560,0,6,0,0,0,0,0,4,0,CO oxidation
Halobacteria,Archaea,694,0,0,0,0,0,0,0,18,0,CO oxidation
T1Sed10-126,Bacteria,9,0,0,0,0,0,0,0,0,0,CO oxidation
UBA8248,Bacteria,48,0,0,0,0,0,0,0,17,0,CO oxidation
2-12-FULL-45-22,Bacteria,2,0,0,0,0,0,0,0,0,0,CO oxidation
UBA890,Bacteria,25,0,0,0,0,0,0,0,4,0,CO oxidation
WYAZ01,Bacteria,37,0,0,0,0,0,0,5,4,0,CO oxidation
Thermoplasmata,Archaea,737,0,0,1,0,0,0,0,11,57,CO oxidation
Koll11,Bacteria,956,0,0,0,0,0,0,0,0,0,CO oxidation
Zhuqueibacteria,Bacteria,162,5,0,0,0,0,0,0,0,0,CO oxidation
UBA4738,Bacteria,189,8,0,0,0,0,0,36,120,0,CO oxidation
Dormibacteria,Bacteria,285,35,0,0,0,0,0,0,91,2,CO oxidation
Sysuimicrobiia,Bacteria,106,7,0,14,0,0,0,2,13,0,CO oxidation
Limnochordia,Bacteria,99,3,0,0,0,0,0,0,0,0,CO oxidation
DTGP01,Bacteria,10,0,0,0,0,0,0,0,0,0,CO oxidation
Thermoprotei,Archaea,116,0,0,0,0,0,0,0,0,34,CO oxidation
Nitrososphaeria,Archaea,843,0,0,4,0,0,0,0,0,9,CO oxidation
Marinisomatia,Bacteria,362,0,0,0,0,0,0,0,0,1,CO oxidation
SAR324,Bacteria,86,10,0,1,0,0,0,3,26,3,CO oxidation
B62-G9,Bacteria,26,0,0,1,0,0,0,0,1,1,CO oxidation
WGA-4E,Bacteria,245,0,0,0,0,0,0,0,0,27,CO oxidation
Spirochaetia,Bacteria,1551,0,0,0,0,0,0,0,1,0,CO oxidation
Thermoprotei_A,Archaea,311,0,0,0,0,0,0,0,0,63,CO oxidation
SM23-61,Bacteria,26,0,0,5,0,0,0,0,7,0,CO oxidation
Kiritimatiellia,Bacteria,884,0,0,0,0,0,0,0,3,0,CO oxidation
UBA6911,Bacteria,123,0,0,0,0,0,0,0,10,1,CO oxidation
UBA6077,Bacteria,37,1,0,0,0,0,0,0,8,0,CO oxidation
UBA11872,Bacteria,70,0,0,0,0,0,0,0,2,0,CO oxidation
HRBIN11,Bacteria,13,3,0,0,0,0,0,0,0,0,CO oxidation
Bacilli,Bacteria,10436,5,0,0,0,0,0,0,2,98,CO oxidation
XYA12-FULL-58-9,Bacteria,36,0,0,0,0,0,0,1,0,0,CO oxidation
FAC87,Bacteria,50,0,0,0,0,0,0,0,0,0,CO oxidation
UBA1135,Bacteria,354,0,0,0,0,0,0,0,2,0,CO oxidation
Ktedonobacteria,Bacteria,139,27,0,0,0,0,0,4,0,8,CO oxidation
Nitriliruptoria,Bacteria,142,10,0,0,0,0,0,32,34,0,CO oxidation
FW602-bin22,Bacteria,26,0,0,0,0,0,0,0,0,0,CO oxidation
MHYJ01,Bacteria,53,0,0,0,0,0,0,0,0,7,CO oxidation
DSM-4660,Bacteria,243,0,0,6,0,0,0,0,3,0,CO oxidation
UBA2968,Bacteria,132,0,0,2,0,0,0,0,9,4,CO oxidation
Sulfobacillia,Bacteria,39,13,0,0,0,0,0,0,0,0,CO oxidation
Nitrososphaeria_A,Archaea,77,0,0,0,0,0,0,0,0,0,CO oxidation
Cyanobacteriia,Bacteria,2303,28,0,0,0,0,0,0,0,0,CO oxidation
UBA2235,Bacteria,25,0,0,0,0,0,0,0,0,0,CO oxidation
UBA9042,Bacteria,130,0,0,0,0,0,0,0,0,0,CO oxidation
Planctomycetia,Bacteria,2293,2,0,0,0,0,0,0,1,0,CO oxidation
HRBIN17,Bacteria,23,0,0,0,0,0,0,0,1,0,CO oxidation
Thermaerobacteria,Bacteria,8,0,0,0,0,0,0,0,0,0,CO oxidation
Symbiobacteriia,Bacteria,22,1,0,0,0,0,0,0,11,0,CO oxidation
Rubrobacteria,Bacteria,83,6,0,0,0,0,0,0,9,0,CO oxidation
RBG-16-71-46,Bacteria,205,0,0,0,0,0,0,0,0,0,CO oxidation
CADDZG01,Bacteria,90,19,0,0,0,0,0,2,4,0,CO oxidation
Micrarchaeia,Archaea,431,0,0,0,0,0,0,0,0,0,CO oxidation
Desulfitobacteriia,Bacteria,109,0,0,1,0,0,0,0,1,0,CO oxidation
Aquificia,Bacteria,192,0,4,0,0,0,0,0,0,0,CO oxidation
Uabimicrobiia,Bacteria,9,0,0,0,0,0,0,0,2,3,CO oxidation
Moorellia,Bacteria,25,0,0,1,0,0,0,0,0,0,CO oxidation
UBA5301,Bacteria,8,0,0,1,0,0,0,0,0,0,CO oxidation
RBS10-35,Bacteria,14,0,0,0,0,0,0,0,1,0,CO oxidation
Kapaibacteriia,Bacteria,357,0,0,0,0,0,0,0,0,0,CO oxidation
Bipolaricaulia,Bacteria,212,0,0,0,0,0,0,0,0,0,CO oxidation
JACPFL01,Bacteria,1,0,0,0,0,0,0,0,1,0,CO oxidation
UBA10030,Bacteria,301,0,0,0,0,0,0,0,0,0,CO oxidation
JACPUC01,Bacteria,1,0,0,0,0,0,0,0,1,0,CO oxidation
JACPSX01,Bacteria,2,0,0,0,0,0,0,0,0,0,CO oxidation
Elusimicrobia,Bacteria,433,0,0,0,0,0,0,0,0,0,CO oxidation
JACQVV01,Bacteria,5,0,0,0,0,0,0,0,0,1,CO oxidation
Thermodesulfovibrionia,Bacteria,444,0,0,1,0,0,0,0,0,0,CO oxidation
Phycisphaerae,Bacteria,2031,0,0,0,0,0,0,0,0,0,CO oxidation
Desulfarculia,Bacteria,88,0,0,1,0,0,0,0,0,0,CO oxidation
UBA796,Bacteria,235,0,0,0,0,0,0,0,0,0,CO oxidation
RPQS01,Bacteria,32,0,0,0,0,0,0,0,0,0,CO oxidation
DYFQ01,Bacteria,1,0,0,1,0,0,0,0,1,0,CO oxidation
UBA5177,Bacteria,26,1,0,0,0,0,0,0,1,0,CO oxidation
JAJPGV01,Bacteria,4,0,0,0,0,0,0,0,0,0,CO oxidation
JAJZYS01,Bacteria,17,0,0,0,0,0,0,0,0,0,CO oxidation
Chitinivibrionia,Bacteria,88,0,0,0,0,0,0,0,0,0,CO oxidation
JAIMAT01,Bacteria,3,0,0,0,0,0,0,0,0,0,CO oxidation
JAAXHH01,Bacteria,37,0,0,0,0,0,0,0,0,1,CO oxidation
CALGFH01,Bacteria,36,5,0,0,0,0,0,0,6,0,CO oxidation
Moduliflexia,Bacteria,16,4,0,1,0,0,0,0,1,1,CO oxidation
Minisyncoccia,Bacteria,3964,0,0,0,0,0,0,0,0,0,CO oxidation
Lentisphaeria,Bacteria,458,0,0,0,0,0,0,0,2,0,CO oxidation
Bathyarchaeia,Archaea,700,0,0,1,0,0,0,0,0,4,CO oxidation
DASVDK01,Bacteria,2,0,0,0,0,0,0,0,2,0,CO oxidation
UBA4733,Bacteria,4,0,0,0,0,0,0,0,0,0,CO oxidation
Desulfomonilia,Bacteria,119,0,0,1,0,0,0,0,1,0,CO oxidation
Synergistia,Bacteria,306,0,0,0,0,0,0,0,0,0,CO oxidation
Desulfobulbia,Bacteria,466,0,0,1,0,0,0,0,1,0,CO oxidation
Heimdallarchaeia,Archaea,79,0,0,0,0,0,0,0,0,0,CO oxidation
SORT01,Bacteria,8,0,0,0,0,0,0,0,0,0,CO oxidation
Polarisedimenticolia,Bacteria,150,0,0,0,0,0,0,0,0,0,CO oxidation
Sumerlaeia,Bacteria,87,0,0,0,0,0,0,0,0,0,CO oxidation
Marinamargulisbacteria,Bacteria,54,0,0,0,0,0,0,0,0,0,CO oxidation
Saccharimonadia,Bacteria,3696,0,0,0,0,0,0,0,0,0,CO oxidation
SPIREOTU_00098093,Bacteria,2,0,0,0,0,0,0,0,0,0,CO oxidation
SPECIV4_06449,Bacteria,1,0,0,0,0,0,0,0,0,0,CO oxidation
AC-67,Bacteria,15,0,0,0,0,0,0,0,0,0,CO oxidation
J058,Bacteria,23,0,0,0,0,0,0,0,0,0,CO oxidation
BSN033,Bacteria,72,0,0,1,0,0,0,0,1,0,CO oxidation
JAICYB01,Bacteria,13,0,0,0,0,0,0,0,0,0,CO oxidation
SZUA-567,Bacteria,67,0,0,0,0,0,0,0,0,0,CO oxidation
Anaerolineae,Bacteria,2860,107,0,428,0,0,0,1,818,109,formate oxidation
Verrucomicrobiia,Bacteria,4414,15,0,5,0,0,0,1,179,6,formate oxidation
UBA1018,Bacteria,142,0,0,0,0,0,0,0,4,0,formate oxidation
Gemmatimonadetes,Bacteria,2069,27,0,1,2,0,0,174,104,0,formate oxidation
Fimbriimonadia,Bacteria,272,0,0,0,0,0,0,0,11,0,formate oxidation
Gammaproteobacteria,Bacteria,28702,3000,2,1,0,0,0,811,3368,871,formate oxidation
UBA1135,Bacteria,354,0,0,0,0,0,0,0,102,2,formate oxidation
Alphaproteobacteria,Bacteria,21830,1977,0,0,0,0,0,1979,6728,51,formate oxidation
Phycisphaerae,Bacteria,2031,0,0,152,0,0,0,0,93,97,formate oxidation
UBA6777,Bacteria,8,0,0,0,0,0,0,0,4,0,formate oxidation
Polyangia,Bacteria,1189,1,0,10,0,0,0,3,72,0,formate oxidation
JABWAT01,Bacteria,7,0,0,0,0,0,0,0,0,0,formate oxidation
JAJVIF01,Bacteria,17,0,0,0,0,0,0,0,0,0,formate oxidation
UBA796,Bacteria,235,0,0,1,0,0,0,0,2,0,formate oxidation
Myxococcia,Bacteria,382,0,0,1,0,0,0,0,52,0,formate oxidation
SZUA-567,Bacteria,67,0,0,1,0,0,0,0,7,4,formate oxidation
PLA2,Bacteria,34,0,0,0,0,0,0,0,5,28,formate oxidation
Nitrospiria,Bacteria,560,1,127,2,0,0,0,0,124,0,formate oxidation
Planctomycetia,Bacteria,2293,4,0,3,0,0,0,0,186,19,formate oxidation
Bacteroidia,Bacteria,26963,12,3,1,0,0,0,1,1322,4,formate oxidation
Blastocatellia,Bacteria,1013,1,0,0,0,0,0,0,6,0,formate oxidation
UBA9042,Bacteria,130,0,0,0,0,0,0,1,0,0,formate oxidation
UBA8742,Bacteria,33,0,0,0,0,0,0,0,0,0,formate oxidation
Bacilli,Bacteria,10436,8,0,0,0,0,0,0,21,614,formate oxidation
MHYJ01,Bacteria,53,0,0,6,0,0,0,0,8,12,formate oxidation
Thermoleophilia,Bacteria,1735,68,0,44,0,0,0,91,159,76,formate oxidation
Holophagae,Bacteria,164,0,0,2,0,0,0,0,17,0,formate oxidation
Dehalococcoidia,Bacteria,2107,0,0,277,0,0,0,33,411,19,formate oxidation
DTOL01,Bacteria,7,0,0,2,0,0,0,0,2,0,formate oxidation
Methylomirabilia,Bacteria,277,25,0,0,0,0,0,0,38,0,formate oxidation
B130-G9,Bacteria,8,0,0,0,0,0,0,0,0,0,formate oxidation
DSM-4660,Bacteria,243,0,0,94,0,0,0,0,60,2,formate oxidation
Hydrogenedentia,Bacteria,145,0,0,7,0,0,0,0,12,0,formate oxidation
Humimicrobiia,Bacteria,92,0,0,39,0,0,0,0,8,4,formate oxidation
Clostridia,Bacteria,23758,0,0,188,0,0,0,0,110,55,formate oxidation
Negativicutes,Bacteria,1087,0,0,24,0,0,0,0,50,11,formate oxidation
Vicinamibacteria,Bacteria,851,0,0,0,0,0,0,0,8,0,formate oxidation
Terriglobia,Bacteria,2679,1,0,1,0,0,0,0,100,35,formate oxidation
Desulfobaccia,Bacteria,81,0,0,24,0,0,0,0,1,33,formate oxidation
RBG-16-71-46,Bacteria,205,0,0,0,0,0,0,0,1,0,formate oxidation
UBA4802,Bacteria,120,0,0,22,0,0,0,0,20,2,formate oxidation
Desulfobacteria,Bacteria,844,0,0,262,0,0,0,0,185,39,formate oxidation
UBA9160,Bacteria,264,7,0,1,0,0,0,36,64,0,formate oxidation
Desulfomonilia,Bacteria,119,0,0,49,0,0,0,0,45,0,formate oxidation
SURF-5,Bacteria,9,0,0,7,0,0,0,0,6,0,formate oxidation
B129-G9,Bacteria,7,0,0,1,0,0,0,0,1,0,formate oxidation
Bathyarchaeia,Archaea,700,0,0,60,0,0,0,0,11,57,formate oxidation
Syntrophobacteria,Bacteria,117,0,0,77,0,0,0,0,34,10,formate oxidation
Bipolaricaulia,Bacteria,212,0,0,55,0,0,0,0,54,3,formate oxidation
BCRBG_01886,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
UBA1177,Bacteria,54,0,0,0,0,0,0,0,0,0,formate oxidation
Thermotogae,Bacteria,158,0,0,0,0,0,0,0,14,0,formate oxidation
Syntrophia,Bacteria,383,0,0,26,0,0,0,0,42,0,formate oxidation
CADAWZ01,Bacteria,13,0,0,0,0,0,0,0,3,0,formate oxidation
Methanomicrobia,Archaea,353,1,0,98,0,0,0,0,0,270,formate oxidation
Aminicenantia,Bacteria,422,0,0,6,0,0,0,0,21,0,formate oxidation
Desulfovibrionia,Bacteria,702,14,0,22,0,0,0,0,117,1,formate oxidation
CSSED10-310,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
Thermodesulfobacteria,Bacteria,69,0,0,26,0,0,0,0,0,0,formate oxidation
Thermodesulfovibrionia,Bacteria,444,3,0,163,0,0,0,0,1,18,formate oxidation
Aerophobia,Bacteria,36,0,0,11,0,0,0,0,11,23,formate oxidation
Nitrososphaeria,Archaea,843,0,0,12,0,10,0,0,0,14,formate oxidation
UBA6911,Bacteria,123,0,0,8,0,0,0,0,25,0,formate oxidation
Spirochaetia,Bacteria,1551,0,0,34,0,0,0,0,72,14,formate oxidation
Zymogenia,Bacteria,11,0,0,1,0,0,0,0,1,0,formate oxidation
SBBH01,Bacteria,5,0,0,0,0,0,0,0,0,0,formate oxidation
Halanaerobiia,Bacteria,87,0,0,6,0,0,0,0,18,2,formate oxidation
Asgardarchaeia,Archaea,2,0,0,0,0,0,0,0,0,1,formate oxidation
Desulfarculia,Bacteria,88,0,0,31,0,0,0,0,22,0,formate oxidation
Syntrophomonadia,Bacteria,122,0,0,0,0,0,0,0,59,0,formate oxidation
Proteinivoracia,Bacteria,18,0,0,0,0,0,0,0,0,0,formate oxidation
Arandabacteria,Bacteria,23,0,0,2,0,0,0,0,0,0,formate oxidation
Desulfuromonadia,Bacteria,528,0,0,0,0,0,0,0,25,0,formate oxidation
Methanosarcinia,Archaea,329,0,13,85,0,0,0,0,0,121,formate oxidation
Entotheonellia,Bacteria,34,0,0,0,0,0,0,0,2,0,formate oxidation
CLD3,Bacteria,25,0,0,0,0,0,0,0,1,0,formate oxidation
Acidimicrobiia,Bacteria,3148,51,0,4,0,0,0,50,124,0,formate oxidation
Vulcanimicrobiia,Bacteria,294,12,0,0,0,0,0,0,3,0,formate oxidation
Actinomycetes,Bacteria,13479,338,0,0,0,0,0,207,775,194,formate oxidation
E2,Archaea,222,0,0,0,0,0,0,0,0,7,formate oxidation
S145-22,Bacteria,14,0,0,3,0,0,0,0,3,0,formate oxidation
Binatia,Bacteria,484,3,0,0,0,0,0,8,62,1,formate oxidation
Limnocylindria,Bacteria,527,5,0,2,0,0,0,0,8,0,formate oxidation
UBA727,Bacteria,60,0,0,0,0,0,0,0,1,0,formate oxidation
Desulfotomaculia,Bacteria,146,5,0,33,0,0,0,0,12,0,formate oxidation
Synergistia,Bacteria,306,0,0,0,0,0,0,0,17,0,formate oxidation
Desulfobulbia,Bacteria,466,2,0,276,0,0,0,0,87,0,formate oxidation
UBA10199,Bacteria,116,0,0,0,0,0,0,0,0,0,formate oxidation
CG2-30-53-67,Bacteria,14,0,0,6,0,0,0,0,1,0,formate oxidation
Brocadiia,Bacteria,129,1,0,74,0,0,0,0,54,85,formate oxidation
Deferrisomatia,Bacteria,21,0,0,11,0,0,0,0,7,0,formate oxidation
B62-G9,Bacteria,26,0,0,15,0,0,0,0,16,6,formate oxidation
Lentisphaeria,Bacteria,458,0,1,10,0,0,0,0,10,0,formate oxidation
Deinococci,Bacteria,355,18,0,0,0,0,0,0,36,0,formate oxidation
Kiritimatiellia,Bacteria,884,0,0,39,0,0,0,0,22,3,formate oxidation
Syntrophorhabdia,Bacteria,103,0,0,40,0,0,0,0,1,0,formate oxidation
Methanobacteria,Archaea,338,0,0,86,0,0,0,0,0,202,formate oxidation
Zipacnadia,Bacteria,75,0,0,18,0,0,0,0,4,26,formate oxidation
DSM-12270,Bacteria,23,0,0,12,0,0,0,0,5,0,formate oxidation
SHA-98,Bacteria,19,0,0,6,0,0,0,0,6,0,formate oxidation
Peptococcia,Bacteria,92,0,0,2,0,0,0,0,9,0,formate oxidation
UBA6099,Bacteria,11,0,0,5,0,0,0,0,4,0,formate oxidation
JAGRBM01,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
UBA9217,Bacteria,54,0,0,25,0,0,0,0,25,0,formate oxidation
Caldisericia,Bacteria,94,0,1,0,0,0,0,0,0,1,formate oxidation
BCRBG_12737,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
Halobacteria,Archaea,694,0,0,0,0,0,0,0,47,0,formate oxidation
MSB-5A5,Bacteria,332,0,0,0,0,0,0,0,0,0,formate oxidation
UBA8248,Bacteria,48,0,0,0,0,0,0,0,17,0,formate oxidation
Thermoprotei_A,Archaea,311,0,0,0,0,0,0,0,0,73,formate oxidation
Cloacimonadia,Bacteria,239,0,0,0,0,0,0,0,0,0,formate oxidation
2-12-FULL-45-22,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
Lokiarchaeia,Archaea,132,0,0,8,0,0,0,0,2,13,formate oxidation
Thermoplasmata,Archaea,737,9,0,36,0,0,0,0,50,149,formate oxidation
SZUA-182,Bacteria,14,0,0,10,0,0,0,0,1,0,formate oxidation
Rhodothermia,Bacteria,624,0,0,0,0,0,0,0,1,0,formate oxidation
WTBG01,Bacteria,54,0,0,17,0,0,0,0,0,0,formate oxidation
G020348925,Bacteria,2,0,0,0,0,0,0,0,1,0,formate oxidation
Ozemobacteria,Bacteria,50,0,0,1,0,0,0,0,1,0,formate oxidation
Chloroflexia,Bacteria,434,5,0,3,7,0,0,7,15,0,formate oxidation
Koll11,Bacteria,956,0,0,37,0,0,0,0,5,12,formate oxidation
Coriobacteriia,Bacteria,3976,0,0,34,0,0,0,0,43,0,formate oxidation
Zhuqueibacteria,Bacteria,162,1,0,1,0,0,0,0,2,0,formate oxidation
JdFR-97,Bacteria,11,0,0,2,0,0,0,0,0,0,formate oxidation
GWA2-38-11,Bacteria,5,0,0,0,0,0,0,0,0,0,formate oxidation
BMS3Abin14,Bacteria,19,0,0,0,0,0,0,0,0,0,formate oxidation
Polarisedimenticolia,Bacteria,150,0,0,0,0,0,0,0,4,0,formate oxidation
UBA8108,Bacteria,58,0,0,0,0,0,0,0,1,0,formate oxidation
SKW154,Bacteria,10,0,0,5,0,0,0,0,4,0,formate oxidation
BCRBG_21639,Bacteria,1,0,0,0,0,0,0,0,0,1,formate oxidation
SYMT01,Bacteria,9,0,0,0,0,0,0,0,6,0,formate oxidation
B15-G4,Bacteria,44,0,0,0,0,0,0,0,6,3,formate oxidation
Thermoanaerobaculia,Bacteria,711,0,0,1,0,0,0,0,58,0,formate oxidation
Dethiobacteria,Bacteria,141,0,0,23,0,0,0,0,11,0,formate oxidation
BSN033,Bacteria,72,0,0,23,0,0,0,0,23,0,formate oxidation
QYQD01,Bacteria,10,0,0,8,0,0,0,0,0,8,formate oxidation
Moduliflexia,Bacteria,16,4,0,1,0,0,0,0,1,1,formate oxidation
Gracilibacteria,Bacteria,669,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_01112900,Bacteria,5,0,0,4,0,0,0,0,1,0,formate oxidation
Campylobacteria,Bacteria,2208,1,63,0,0,0,0,0,0,0,formate oxidation
SM23-61,Bacteria,26,0,0,11,0,0,0,0,13,0,formate oxidation
JS1,Bacteria,53,0,0,0,0,0,0,0,16,0,formate oxidation
BCRBG_26299,Bacteria,3,0,0,0,0,0,0,0,1,0,formate oxidation
Thermococci,Archaea,141,0,0,6,0,0,0,0,0,37,formate oxidation
JAWCLZ01,Archaea,4,0,0,1,0,0,0,0,0,3,formate oxidation
JAHEXW01,Bacteria,6,0,0,2,0,0,0,0,0,0,formate oxidation
Fermentithermobacillia,Bacteria,34,0,0,0,0,0,0,0,3,0,formate oxidation
Geothermincolia,Bacteria,63,0,0,28,0,0,0,0,0,33,formate oxidation
Syntropharchaeia,Archaea,67,0,0,23,0,0,0,0,0,28,formate oxidation
Dissulfuribacteria,Bacteria,80,4,0,42,0,0,0,0,3,0,formate oxidation
JASEFT01,Archaea,7,0,0,0,0,0,0,0,1,2,formate oxidation
BCRBG_32896,Bacteria,4,0,0,0,0,0,0,0,0,0,formate oxidation
Fibrobacteria,Bacteria,253,0,0,0,0,0,0,0,1,0,formate oxidation
RPQS01,Bacteria,32,0,0,0,0,0,0,0,0,0,formate oxidation
PUPC01,Bacteria,32,0,0,5,0,0,0,0,1,11,formate oxidation
