class,domain,n_genomes,CBB,rTCA,WL,3HP,3HP/4HB,DC/4HB,Serine Cycle,Reductive Glycine Pathway,RuMP,electron_donor
DSWW01,Bacteria,16,0,0,7,0,0,0,0,6,6,formate oxidation
Thermoprotei,Archaea,116,0,0,0,0,0,0,0,0,34,formate oxidation
Poseidoniia,Archaea,587,0,0,0,0,0,0,0,2,0,formate oxidation
SAR324,Bacteria,86,11,0,1,0,0,0,2,27,3,formate oxidation
Magnetococcia,Bacteria,42,0,0,0,0,0,0,0,0,0,formate oxidation
BCRBG_35300,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
WVXT01,Bacteria,19,0,0,8,0,0,0,0,0,7,formate oxidation
Aquicultoria,Bacteria,29,0,0,7,0,0,0,0,2,3,formate oxidation
Bog-38,Archaea,15,0,0,1,0,0,0,0,0,10,formate oxidation
Minisyncoccia,Bacteria,3964,0,0,0,0,0,0,0,0,0,formate oxidation
GCA-001730085,Bacteria,4,0,0,0,0,0,0,0,0,0,formate oxidation
UBA9088,Bacteria,8,0,0,4,0,0,0,0,0,0,formate oxidation
JAJSAM01,Bacteria,16,1,0,0,0,0,0,0,0,12,formate oxidation
BCRBG_43526,Bacteria,2,0,0,0,0,0,0,0,2,0,formate oxidation
Elusimicrobia,Bacteria,433,0,0,0,0,0,0,0,0,0,formate oxidation
BCRBG_43749,Archaea,2,0,0,0,0,0,0,0,0,2,formate oxidation
BCRBG_44534,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
QNDG01,Bacteria,52,0,0,2,0,0,0,0,4,0,formate oxidation
Hebobacteria,Bacteria,64,0,0,26,0,0,0,0,11,33,formate oxidation
B3-B38,Bacteria,19,0,0,0,0,0,0,0,2,0,formate oxidation
MWCZ01,Bacteria,8,0,0,0,0,0,0,0,2,0,formate oxidation
Altiarchaeia,Archaea,53,0,0,0,0,0,0,0,1,6,formate oxidation
Marinisomatia,Bacteria,362,0,0,0,0,0,0,0,0,0,formate oxidation
BCRBG_47423,Bacteria,1,0,0,0,0,0,0,0,1,1,formate oxidation
Sumerlaeia,Bacteria,87,0,0,2,0,0,0,0,1,1,formate oxidation
Chthonomonadetes,Bacteria,65,0,0,0,0,0,0,0,5,0,formate oxidation
UBA2968,Bacteria,132,0,0,3,0,0,0,0,3,0,formate oxidation
JAAXHH01,Bacteria,37,0,0,0,0,0,0,0,1,32,formate oxidation
UBA11872,Bacteria,70,0,0,0,0,0,0,0,24,0,formate oxidation
Patescibacteriia,Bacteria,1815,0,0,0,0,0,0,0,0,0,formate oxidation
UBA4738,Bacteria,189,0,0,0,0,0,0,2,10,0,formate oxidation
HRBIN11,Bacteria,13,0,0,0,0,0,0,0,0,0,formate oxidation
FAC87,Bacteria,50,0,0,0,0,0,0,0,0,0,formate oxidation
Desulfurellia,Bacteria,41,0,0,0,0,0,0,0,0,0,formate oxidation
Archaeoglobi,Archaea,99,0,0,25,0,0,0,0,0,30,formate oxidation
RBG-13-61-14,Bacteria,21,0,0,12,0,0,0,0,10,0,formate oxidation
EX4484-6,Archaea,26,0,0,1,0,0,0,0,6,6,formate oxidation
Microgenomatia,Bacteria,1796,0,0,0,0,0,0,0,0,0,formate oxidation
BCRBG_52289,Bacteria,1,0,0,0,0,0,0,0,1,0,formate oxidation
Latescibacteria,Bacteria,19,0,0,4,0,0,0,0,2,0,formate oxidation
Fermentibacteria,Bacteria,71,0,0,0,0,0,0,0,8,0,formate oxidation
BCRBG_53577,Bacteria,2,0,0,0,0,0,0,0,1,0,formate oxidation
Hydrothermia,Bacteria,78,0,0,0,0,0,0,0,0,0,formate oxidation
DYJV01,Bacteria,9,0,0,5,0,0,0,0,0,0,formate oxidation
Krumholzibacteriia,Bacteria,216,0,0,0,0,0,0,0,1,0,formate oxidation
Ch66,Bacteria,7,0,0,0,0,0,0,0,2,0,formate oxidation
Chlamydiia,Bacteria,586,0,0,0,0,0,0,0,0,0,formate oxidation
Heimdallarchaeia,Archaea,79,0,0,0,0,0,0,0,0,18,formate oxidation
JACQVV01,Bacteria,5,0,0,0,0,0,0,0,0,3,formate oxidation
Hydrothermarchaeia,Archaea,36,0,0,7,0,0,0,0,0,7,formate oxidation
UBA8468,Bacteria,55,0,0,12,0,0,0,0,0,13,formate oxidation
UBA6262,Bacteria,8,0,0,0,0,0,0,0,0,0,formate oxidation
Sysuimicrobiia,Bacteria,106,1,0,13,0,0,0,0,10,0,formate oxidation
SLNR01,Bacteria,5,0,0,0,0,0,0,0,0,0,formate oxidation
Ktedonobacteria,Bacteria,139,4,0,0,0,0,0,1,0,1,formate oxidation
WYAZ01,Bacteria,37,2,0,0,0,0,0,2,7,0,formate oxidation
FW602-bin22,Bacteria,26,0,0,6,0,0,0,0,4,0,formate oxidation
Chitinivibrionia,Bacteria,88,0,0,2,0,0,0,0,0,0,formate oxidation
UBA9980,Bacteria,10,0,0,0,0,0,0,0,0,0,formate oxidation
RBG-13-43-22,Bacteria,13,0,0,6,0,0,0,0,4,0,formate oxidation
Thermincolia,Bacteria,11,0,0,6,0,0,0,0,3,0,formate oxidation
TC1,Bacteria,23,0,0,0,0,0,0,0,13,0,formate oxidation
Methanocellia,Archaea,12,0,0,3,0,0,0,0,0,10,formate oxidation
SLMV01,Bacteria,11,0,0,3,0,0,0,0,4,0,formate oxidation
UBA148,Archaea,10,0,0,5,0,0,0,0,0,7,formate oxidation
JAFDED01,Bacteria,2,0,0,2,0,0,0,0,2,0,formate oxidation
BCRBG_75306,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
MVCY01,Bacteria,9,0,0,1,0,0,0,0,1,0,formate oxidation
Fusobacteriia,Bacteria,226,0,0,0,0,0,0,0,5,3,formate oxidation
WOR-3,Bacteria,145,1,0,0,0,0,0,0,0,1,formate oxidation
Korarchaeia,Archaea,34,0,0,0,0,0,0,0,0,11,formate oxidation
Sulfobacillia,Bacteria,39,10,0,0,0,0,0,0,0,0,formate oxidation
Nitrososphaeria_A,Archaea,77,0,0,0,0,0,0,0,0,0,formate oxidation
Desulfitobacteriia,Bacteria,109,0,0,30,0,0,0,0,21,0,formate oxidation
PH28-bin88,Bacteria,4,0,0,2,0,0,0,0,2,0,formate oxidation
WOR-1,Bacteria,81,0,0,0,0,0,0,0,10,0,formate oxidation
GWE2-31-10,Bacteria,27,0,0,0,0,0,0,0,0,0,formate oxidation
Endomicrobiia,Bacteria,128,0,0,5,0,0,0,0,0,7,formate oxidation
Abditibacteriia,Bacteria,36,0,0,1,0,0,0,0,4,0,formate oxidation
CG2-30-40-21,Bacteria,9,0,0,7,0,0,0,0,1,1,formate oxidation
Methanonatronarchaeia,Archaea,6,0,0,0,0,0,0,0,0,4,formate oxidation
UBA995,Bacteria,13,0,0,11,0,0,0,0,10,0,formate oxidation
UBA994,Bacteria,27,0,0,0,0,0,0,0,1,0,formate oxidation
UBA2233,Bacteria,2,0,0,0,0,0,0,0,2,0,formate oxidation
UBA3569,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
UBA3561,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
Cyanobacteriia,Bacteria,2303,9,0,0,0,0,0,0,0,0,formate oxidation
Limnochordia,Bacteria,99,0,0,3,0,0,0,0,2,0,formate oxidation
UBA5214,Bacteria,5,0,0,3,0,0,0,0,0,3,formate oxidation
UBA6077,Bacteria,37,0,0,1,0,0,0,0,5,0,formate oxidation
UBA186,Archaea,3,0,0,0,0,0,0,0,1,2,formate oxidation
GCA-2746535,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
0-14-0-80-59-12,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
UBA8481,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
Bradymonadia,Bacteria,210,1,0,0,0,0,0,0,1,1,formate oxidation
Symbiobacteriia,Bacteria,22,1,0,0,0,0,0,0,15,0,formate oxidation
Riflemargulisbacteria,Bacteria,13,0,0,0,0,0,0,0,0,0,formate oxidation
UBA9089,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
Moorellia,Bacteria,25,0,0,5,0,0,0,0,3,0,formate oxidation
Iainarchaeia,Archaea,180,0,0,0,0,0,0,0,0,1,formate oxidation
T3Sed10-11,Bacteria,8,0,0,0,0,0,0,0,0,0,formate oxidation
NPL-UPA2,Bacteria,6,0,0,1,0,0,0,0,0,1,formate oxidation
SURF-8,Bacteria,10,0,0,3,0,0,0,0,3,0,formate oxidation
Hinthialibacteria,Bacteria,38,0,0,0,0,0,0,0,2,0,formate oxidation
JAUUWJ01,Bacteria,3,0,0,3,0,0,0,0,0,0,formate oxidation
32-111,Bacteria,17,0,0,0,0,0,0,0,0,0,formate oxidation
4484-107,Bacteria,7,0,0,2,0,0,0,0,0,1,formate oxidation
J058,Bacteria,23,0,0,0,0,0,0,0,0,0,formate oxidation
SZUA-79,Bacteria,32,0,0,0,0,0,0,0,0,0,formate oxidation
Methanoliparia,Archaea,4,0,0,2,0,0,0,0,0,2,formate oxidation
E44-bin80,Bacteria,7,0,0,0,0,0,0,0,1,0,formate oxidation
E44-bin39,Bacteria,1,0,0,1,0,0,0,0,0,1,formate oxidation
DG-26,Bacteria,6,0,0,0,0,0,0,0,1,0,formate oxidation
Nitriliruptoria,Bacteria,142,1,0,0,0,0,0,11,8,0,formate oxidation
UBA8153,Bacteria,3,0,0,2,0,0,0,0,2,0,formate oxidation
CADDZG01,Bacteria,90,3,0,0,0,0,0,1,2,0,formate oxidation
UBA8473,Bacteria,11,0,0,5,0,0,0,0,2,0,formate oxidation
Dehalobacteriia,Bacteria,85,0,0,2,0,0,0,0,3,0,formate oxidation
Xenobia,Bacteria,55,0,0,0,0,0,0,0,0,0,formate oxidation
UBA7883,Bacteria,36,0,0,0,0,0,0,0,0,0,formate oxidation
UBA890,Bacteria,25,0,0,0,0,0,0,0,2,0,formate oxidation
Lernaellaia,Bacteria,19,0,0,1,0,0,0,0,1,0,formate oxidation
B64-G9,Bacteria,22,0,0,1,0,0,0,0,1,0,formate oxidation
DUSP01,Bacteria,4,0,0,2,0,0,0,0,2,0,formate oxidation
WGA-4E,Bacteria,245,0,0,4,0,0,0,0,1,4,formate oxidation
DTXE01,Bacteria,2,0,0,1,0,0,0,0,0,1,formate oxidation
JAADFL01,Bacteria,2,0,0,2,0,0,0,0,2,0,formate oxidation
Uabimicrobiia,Bacteria,9,0,0,0,0,0,0,0,1,0,formate oxidation
Rubrobacteria,Bacteria,83,6,0,0,0,0,0,0,3,0,formate oxidation
CG03,Bacteria,8,0,0,1,0,0,0,0,1,2,formate oxidation
JACIYH01,Bacteria,4,0,0,3,0,0,0,0,3,0,formate oxidation
Methanomethylicia,Archaea,58,0,0,2,0,0,0,0,0,2,formate oxidation
UBA5301,Bacteria,8,0,0,2,0,0,0,0,3,0,formate oxidation
Anaeroferrophillalia,Bacteria,24,0,0,9,0,0,0,0,0,0,formate oxidation
JACPFL01,Bacteria,1,0,0,0,0,0,0,0,1,0,formate oxidation
JACPQY01,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
JACPUC01,Bacteria,1,0,0,0,0,0,0,0,1,0,formate oxidation
JAAZEB01,Bacteria,4,0,0,1,0,0,0,0,1,1,formate oxidation
SW-10-69-26,Archaea,16,0,0,0,0,0,0,0,1,4,formate oxidation
JACQYL01,Bacteria,5,0,0,2,0,0,0,0,0,0,formate oxidation
JACRHL01,Bacteria,6,1,0,0,0,0,0,0,4,0,formate oxidation
UBA8919,Bacteria,12,0,0,3,0,0,0,0,0,3,formate oxidation
SpSt-1050,Bacteria,8,0,0,1,0,0,0,0,0,0,formate oxidation
Deferrimicrobia,Bacteria,82,0,0,0,0,0,0,0,0,0,formate oxidation
Dormibacteria,Bacteria,285,4,0,0,0,0,0,0,2,0,formate oxidation
Bacteriovoracia,Bacteria,374,0,0,0,0,0,0,0,1,0,formate oxidation
JAENJC01,Bacteria,4,0,0,2,0,0,0,0,1,0,formate oxidation
DTKX01,Archaea,19,0,0,4,0,0,0,0,7,10,formate oxidation
B13-G15,Bacteria,25,0,0,6,0,0,0,0,0,0,formate oxidation
SDB-A,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
JAFGSJ01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
JAHJIN01,Bacteria,3,0,0,2,0,0,0,0,2,0,formate oxidation
JAHJRX01,Bacteria,2,0,0,2,0,0,0,0,0,0,formate oxidation
UBA2242,Bacteria,48,0,0,0,0,0,0,0,0,0,formate oxidation
Deferribacteres,Bacteria,71,0,0,0,0,0,0,0,0,0,formate oxidation
Glassbacteria,Bacteria,15,0,0,0,0,0,0,0,1,0,formate oxidation
Kapaibacteriia,Bacteria,357,0,0,0,0,0,0,0,0,0,formate oxidation
DSM-16504,Bacteria,7,0,0,1,0,0,0,0,1,0,formate oxidation
G020349885,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
UBA4820,Bacteria,32,0,0,0,0,0,0,0,0,0,formate oxidation
DVGY01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
DYFQ01,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
JADLDR01,Bacteria,1,0,0,0,0,0,0,0,1,0,formate oxidation
XYA12-FULL-58-9,Bacteria,36,0,0,0,0,0,0,0,1,0,formate oxidation
AUK180,Bacteria,7,0,0,0,0,0,0,0,0,0,formate oxidation
B47-G6,Archaea,2,0,0,0,0,0,0,0,0,2,formate oxidation
UBA5177,Bacteria,26,1,0,0,0,0,0,0,1,0,formate oxidation
UBA5829,Bacteria,66,0,0,3,0,0,0,0,4,1,formate oxidation
Thermodesulfobiia,Bacteria,5,4,0,0,0,0,0,0,4,0,formate oxidation
JACRHJ01,Bacteria,8,0,0,7,0,0,0,0,4,0,formate oxidation
Vampirovibrionia,Bacteria,1135,0,0,0,0,0,0,0,0,0,formate oxidation
JAJYWN01,Bacteria,5,0,0,5,0,0,0,0,3,0,formate oxidation
JAJZYS01,Bacteria,17,0,0,0,0,0,0,0,0,0,formate oxidation
JAJZIM01,Bacteria,2,0,0,1,0,0,0,0,0,0,formate oxidation
GWC2-55-46,Bacteria,91,0,0,0,0,0,0,0,0,0,formate oxidation
GCA-003054495,Bacteria,4,0,0,1,0,0,0,0,2,0,formate oxidation
UBA4055,Bacteria,18,0,0,0,0,0,0,0,0,0,formate oxidation
UBA2235,Bacteria,25,0,0,0,0,0,0,0,0,0,formate oxidation
Ignavibacteria,Bacteria,600,0,0,0,0,0,0,0,0,0,formate oxidation
CAKKQC01,Bacteria,7,0,0,2,0,0,0,0,2,0,formate oxidation
JAMCWA01,Bacteria,2,0,0,2,0,0,0,0,2,0,formate oxidation
JAMCWD01,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
JAIMBG01,Bacteria,2,0,0,2,0,0,0,0,1,0,formate oxidation
JAIMAT01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
JAJRXV01,Bacteria,2,0,0,1,0,0,0,0,0,0,formate oxidation
JAJRWM01,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
JANLFM01,Bacteria,12,0,0,0,0,0,0,0,0,0,formate oxidation
HRBIN17,Bacteria,23,0,0,4,0,0,0,0,0,0,formate oxidation
Coprothermobacteria,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
CAIJMQ01,Bacteria,14,0,0,3,0,0,0,0,0,3,formate oxidation
Desulfofervidia,Bacteria,10,0,2,0,0,0,0,0,0,3,formate oxidation
Methanopyri,Archaea,6,0,0,5,0,0,0,0,0,5,formate oxidation
Aquificia,Bacteria,192,0,4,0,0,0,0,0,0,0,formate oxidation
JAQUKH01,Bacteria,2,0,0,2,0,0,0,0,0,0,formate oxidation
JACOTG01,Bacteria,8,0,0,0,0,0,0,0,0,0,formate oxidation
JAAYUB01,Bacteria,13,0,0,0,0,0,0,0,0,0,formate oxidation
Thermoanaerobacteria,Bacteria,41,0,0,2,0,0,0,0,1,0,formate oxidation
JASEIO01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
JASEGY01,Bacteria,3,0,0,3,0,0,0,0,0,0,formate oxidation
CALGFH01,Bacteria,36,1,0,0,0,0,0,0,3,0,formate oxidation
Oligoflexia,Bacteria,180,0,0,0,0,0,0,0,1,0,formate oxidation
JASUSC01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
CAJVYJ01,Bacteria,13,0,0,5,0,0,0,0,0,0,formate oxidation
Joyebacteria,Bacteria,31,0,0,0,0,0,0,0,0,0,formate oxidation
JAUVYG01,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
JAUVQV01,Bacteria,6,0,0,1,0,0,0,0,1,0,formate oxidation
UBA7526,Bacteria,4,0,0,0,0,0,0,0,0,0,formate oxidation
JAUXIQ01,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
JAGLSM01,Bacteria,6,0,0,0,0,0,0,0,0,0,formate oxidation
JAUYEG01,Bacteria,7,0,0,2,0,0,0,0,4,0,formate oxidation
JAUYEF01,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
JACPSX01,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
DATKYB01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
DG-23,Bacteria,14,0,0,1,0,0,0,0,0,3,formate oxidation
DASYRF01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
DASVDK01,Bacteria,2,0,0,0,0,0,0,0,1,0,formate oxidation
DASWHO01,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
Sericytochromatia,Bacteria,49,0,0,0,0,0,0,0,1,0,formate oxidation
HKB111,Bacteria,4,0,0,2,0,0,0,0,0,0,formate oxidation
D2-FULL-39-29,Bacteria,13,0,0,1,0,0,0,0,0,1,formate oxidation
Aenigmatarchaeia,Archaea,321,0,0,0,0,0,0,0,0,0,formate oxidation
JBCCFW01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
JACRCW01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
JBFMBV01,Bacteria,1,0,0,1,0,0,0,0,1,0,formate oxidation
JAICYB01,Bacteria,13,0,0,0,0,0,0,0,0,0,formate oxidation
DULZ01,Bacteria,4,0,0,0,0,0,0,0,1,0,formate oxidation
CADDZV01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
CAIWXX01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
9FT-COMBO-42-15,Bacteria,16,0,0,0,0,0,0,0,0,0,formate oxidation
RBG-16-64-22,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
Erginobacteria,Bacteria,19,0,0,1,0,0,0,0,0,0,formate oxidation
PGYV01,Bacteria,25,0,0,0,0,0,0,0,0,0,formate oxidation
CALKMS01,Bacteria,11,0,0,1,0,0,0,0,0,0,formate oxidation
Z-2901,Bacteria,4,0,0,2,0,0,0,0,2,0,formate oxidation
Natranaerobiia,Bacteria,6,0,0,1,0,0,0,0,2,0,formate oxidation
Chrysiogenetes,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
KKC1,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
Armatimonadia,Bacteria,82,0,0,0,0,0,0,0,1,0,formate oxidation
GOMCOTU_12316,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
SPECIV4_29685,Bacteria,6,0,0,3,0,0,0,0,2,0,formate oxidation
JADGBV01,Bacteria,7,0,0,0,0,0,0,0,0,0,formate oxidation
MOTU40_019828,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
Nanobdellia,Archaea,1265,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_01106000,Bacteria,3,0,0,0,0,0,0,0,0,1,formate oxidation
BCRBG_11297,Bacteria,3,0,0,1,0,0,0,0,0,0,formate oxidation
AABM5-125-24,Bacteria,19,0,0,0,0,0,0,0,0,0,formate oxidation
DAOVMN01,Archaea,6,0,0,0,0,0,0,0,1,1,formate oxidation
MOTU40_065870,Bacteria,1,0,0,1,0,0,0,0,0,0,formate oxidation
Saccharimonadia,Bacteria,3696,0,0,0,0,0,0,0,0,0,formate oxidation
JAWSUQ01,Bacteria,4,0,0,2,0,0,0,0,1,0,formate oxidation
JABMQX01,Bacteria,15,0,0,1,0,0,0,0,0,0,formate oxidation
DASRZA01,Bacteria,3,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_00098093,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
SPECIV4_06449,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
UBA1551,Bacteria,3,0,0,1,0,0,0,0,0,1,formate oxidation
SPECIV4_29630,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_00055193,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_00057398,Bacteria,2,0,0,1,0,0,0,0,1,0,formate oxidation
Calescibacteriia,Bacteria,9,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_00098978,Bacteria,2,0,0,0,0,0,0,0,0,1,formate oxidation
JALVIU01,Bacteria,2,0,0,0,0,0,0,0,1,0,formate oxidation
JAGHAJ01,Bacteria,2,0,0,0,0,0,0,0,0,0,formate oxidation
Thorarchaeia,Archaea,85,0,0,0,0,0,0,0,0,1,formate oxidation
Methanococci,Archaea,41,0,0,1,0,0,0,0,0,1,formate oxidation
Mcinerneyibacteria,Bacteria,11,0,0,0,0,0,0,0,1,0,formate oxidation
Bdellovibrionia,Bacteria,451,0,0,0,0,0,0,0,0,0,formate oxidation
JAFGKV01,Bacteria,4,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_01111303,Bacteria,3,0,0,0,0,0,0,0,1,0,formate oxidation
SM23-31,Bacteria,9,0,0,0,0,0,0,0,0,0,formate oxidation
UBA10030,Bacteria,301,0,0,0,0,0,0,0,0,0,formate oxidation
SPIREOTU_01283629,Bacteria,1,0,0,1,0,0,0,0,0,1,formate oxidation
SPIREOTU_01326373,Bacteria,1,0,0,1,0,0,0,0,0,1,formate oxidation
DTPJ01,Bacteria,10,0,0,1,0,0,0,0,1,1,formate oxidation
SPIREOTU_01584665,Bacteria,1,0,0,0,0,0,0,0,0,0,formate oxidation
UBA1144,Bacteria,132,0,0,0,0,0,0,0,0,0,formate oxidation
UBA2361,Bacteria,172,0,0,0,0,0,0,0,0,0,formate oxidation
Jordiarchaeia,Archaea,12,0,0,1,0,0,0,0,0,1,formate oxidation
JAUVJM01,Bacteria,6,0,0,0,0,0,0,0,0,1,formate oxidation
SPIREOTU_02087814,Bacteria,3,0,0,2,0,0,0,0,0,2,formate oxidation
JAKEIC01,Bacteria,3,0,0,1,0,0,0,0,1,1,formate oxidation
GCA-2686955,Bacteria,5,0,0,0,0,0,0,0,0,0,formate oxidation
Alphaproteobacteria,Bacteria,21830,122,0,0,0,0,0,274,137,1,methanol oxidation
Gammaproteobacteria,Bacteria,28702,85,0,0,0,0,0,86,67,236,methanol oxidation
Methylomirabilia,Bacteria,277,1,0,0,0,0,0,0,0,0,methanol oxidation
Actinomycetes,Bacteria,13479,0,0,0,0,0,0,0,0,0,methanol oxidation
